Timestamp,Fixation Index,Fixation Duration,SourceStimuliName,source_file_line,source_file_col
516666.6641,1493,133.3197,t7_eclipse (C_5.java),22,39
516941.637,1494,75.0489,t7_eclipse (C_5.java),22,40
517149.9654,1495,91.64775,t7_eclipse (C_5.java),22,33
517474.9142,1496,208.303,t7_eclipse (C_5.java),24,16
517916.5166,1497,74.9735,t7_eclipse (C_5.java),30,31
518016.4978,1498,358.32,t7_eclipse (C_5.java),29,33
519274.8036,1500,158.3237,t7_eclipse (C_5.java),30,13
519682.98,1501,116.6711,t7_eclipse (C_5.java),30,17
520282.9052,1503,441.57425,t7_eclipse (C_5.java),12,14
520741.1808,1504,199.98915,t7_eclipse (C_5.java),15,11
520974.5159,1505,724.9699,t7_eclipse (C_5.java),16,8
523324.2008,1508,233.29405,t7_eclipse (C_5.java),37,46
523757.4561,1510,66.641,t7_eclipse (C_5.java),29,12
524682.4005,1514,208.30755,t7_eclipse (C_5.java),9,13
525165.6504,1516,133.27475,t7_eclipse (C_5.java),6,10
525257.3301,1517,133.2585,t7_eclipse (C_5.java),3,13
525498.9569,1518,133.3054,t7_eclipse (C_5.java),3,25
525665.613,1519,74.999,t7_eclipse (C_5.java),3,24
525823.9827,1520,283.2992,t7_eclipse (C_5.java),11,19
526165.5524,1521,291.67785,t7_eclipse (C_5.java),12,30
526482.2026,1522,83.2968,t7_eclipse (C_5.java),13,27
526565.5372,1523,66.64715,t7_eclipse (C_5.java),13,24
526757.189,1524,166.6418,t7_eclipse (C_5.java),15,13
527015.492,1525,183.35305,t7_eclipse (C_5.java),15,20
527232.2021,1526,166.59215,t7_eclipse (C_5.java),18,16
527415.5335,1527,208.3342,t7_eclipse (C_5.java),18,19
527682.1531,1528,216.6483,t7_eclipse (C_5.java),20,12
527948.7223,1529,174.9916,t7_eclipse (C_5.java),21,23
528198.7061,1530,183.283,t7_eclipse (C_5.java),22,17
528448.6984,1531,116.6769,t7_eclipse (C_5.java),21,22
528598.6306,1532,266.6529,t7_eclipse (C_5.java),21,31
529131.9609,1534,208.2555,t7_eclipse (C_5.java),21,18
529331.8963,1535,208.351,t7_eclipse (C_5.java),21,23
529573.5571,1536,483.26105,t7_eclipse (C_5.java),21,20
530056.9134,1537,241.55205,t7_eclipse (C_5.java),21,24
530756.7464,1539,183.3254,t7_eclipse (C_5.java),22,31
531123.3665,1540,349.9509,t7_eclipse (C_5.java),22,34
531589.9967,1541,183.30065,t7_eclipse (C_5.java),22,39
531714.9539,1542,133.33175,t7_eclipse (C_5.java),21,21
531889.9598,1543,191.60635,t7_eclipse (C_5.java),21,25
532364.8839,1545,191.62035,t7_eclipse (C_5.java),22,35
532589.8831,1546,283.2966,t7_eclipse (C_5.java),22,19
532914.8804,1547,249.9349,t7_eclipse (C_5.java),20,16
533164.7765,1548,75.04295,t7_eclipse (C_5.java),21,15
533264.7912,1549,266.64055,t7_eclipse (C_5.java),21,23
