fragment,Fixation Duration_mean,Fixation Duration_sum,Fixation Duration_max,Fixation Duration_min,Fixation Duration_median,Fixation Duration_std,Fixation Duration 250_mean,Fixation Duration 250_sum,Fixation Duration 250_max,Fixation Duration 250_min,Fixation Duration 250_median,Fixation Duration 250_std,Fixation Duration 500_mean,Fixation Duration 500_sum,Fixation Duration 500_max,Fixation Duration 500_min,Fixation Duration 500_median,Fixation Duration 500_std,Fixation Count_mean,Fixation Count_sum,Fixation Count_max,Fixation Count_min,Fixation Count_median,Fixation Count_std,Fixation Count 250_mean,Fixation Count 250_sum,Fixation Count 250_max,Fixation Count 250_min,Fixation Count 250_median,Fixation Count 250_std,Fixation Count 500_mean,Fixation Count 500_sum,Fixation Count 500_max,Fixation Count 500_min,Fixation Count 500_median,Fixation Count 500_std,fixation_NumberOfPupilPeaks_mean,fixation_NumberOfPupilPeaks_sum,fixation_NumberOfPupilPeaks_max,fixation_NumberOfPupilPeaks_min,fixation_NumberOfPupilPeaks_median,fixation_NumberOfPupilPeaks_std,fixation_PupilSize_mean_mean,fixation_PupilSize_mean_sum,fixation_PupilSize_mean_max,fixation_PupilSize_mean_min,fixation_PupilSize_mean_median,fixation_PupilSize_mean_std,fixation_PupilSize_median_mean,fixation_PupilSize_median_sum,fixation_PupilSize_median_max,fixation_PupilSize_median_min,fixation_PupilSize_median_median,fixation_PupilSize_median_std,fixation_PupilSize_max_mean,fixation_PupilSize_max_sum,fixation_PupilSize_max_max,fixation_PupilSize_max_min,fixation_PupilSize_max_median,fixation_PupilSize_max_std,fixation_PupilSize_min_mean,fixation_PupilSize_min_sum,fixation_PupilSize_min_max,fixation_PupilSize_min_min,fixation_PupilSize_min_median,fixation_PupilSize_min_std,fixation_PupilSize_std_mean,fixation_PupilSize_std_sum,fixation_PupilSize_std_max,fixation_PupilSize_std_min,fixation_PupilSize_std_median,fixation_PupilSize_std_std,fixation_PupilSize_sum_mean,fixation_PupilSize_sum_sum,fixation_PupilSize_sum_max,fixation_PupilSize_sum_min,fixation_PupilSize_sum_median,fixation_PupilSize_sum_std,fixation_PupilPeaksAmplitude_mean_mean,fixation_PupilPeaksAmplitude_mean_sum,fixation_PupilPeaksAmplitude_mean_max,fixation_PupilPeaksAmplitude_mean_min,fixation_PupilPeaksAmplitude_mean_median,fixation_PupilPeaksAmplitude_mean_std,fixation_PupilPeaksAmplitude_median_mean,fixation_PupilPeaksAmplitude_median_sum,fixation_PupilPeaksAmplitude_median_max,fixation_PupilPeaksAmplitude_median_min,fixation_PupilPeaksAmplitude_median_median,fixation_PupilPeaksAmplitude_median_std,fixation_PupilPeaksAmplitude_max_mean,fixation_PupilPeaksAmplitude_max_sum,fixation_PupilPeaksAmplitude_max_max,fixation_PupilPeaksAmplitude_max_min,fixation_PupilPeaksAmplitude_max_median,fixation_PupilPeaksAmplitude_max_std,fixation_PupilPeaksAmplitude_min_mean,fixation_PupilPeaksAmplitude_min_sum,fixation_PupilPeaksAmplitude_min_max,fixation_PupilPeaksAmplitude_min_min,fixation_PupilPeaksAmplitude_min_median,fixation_PupilPeaksAmplitude_min_std,fixation_PupilPeaksAmplitude_std_mean,fixation_PupilPeaksAmplitude_std_sum,fixation_PupilPeaksAmplitude_std_max,fixation_PupilPeaksAmplitude_std_min,fixation_PupilPeaksAmplitude_std_median,fixation_PupilPeaksAmplitude_std_std,fixation_PupilPeaksAmplitude_sum_mean,fixation_PupilPeaksAmplitude_sum_sum,fixation_PupilPeaksAmplitude_sum_max,fixation_PupilPeaksAmplitude_sum_min,fixation_PupilPeaksAmplitude_sum_median,fixation_PupilPeaksAmplitude_sum_std,IsfixationInSpatialCluster_mean,IsfixationInSpatialCluster_sum,IsfixationInSpatialCluster_max,IsfixationInSpatialCluster_min,IsfixationInSpatialCluster_median,IsfixationInSpatialCluster_std,IsfixationInSpatialTemporalCluster_mean,IsfixationInSpatialTemporalCluster_sum,IsfixationInSpatialTemporalCluster_max,IsfixationInSpatialTemporalCluster_min,IsfixationInSpatialTemporalCluster_median,IsfixationInSpatialTemporalCluster_std,Spacecluster_countUniqueClusters,SpaceTimeCluster_countUniqueClusters,non-horizontal saccade_mean,non-horizontal saccade_sum,non-horizontal saccade_max,non-horizontal saccade_min,non-horizontal saccade_median,non-horizontal saccade_std,horizontal saccade_mean,horizontal saccade_sum,horizontal saccade_max,horizontal saccade_min,horizontal saccade_median,horizontal saccade_std,no saccade_mean,no saccade_sum,no saccade_max,no saccade_min,no saccade_median,no saccade_std,saccadic amplitude_mean,saccadic amplitude_sum,saccadic amplitude_max,saccadic amplitude_min,saccadic amplitude_median,saccadic amplitude_std,Sub-scanAverageWeightedDegree_mean,Sub-scanAverageWeightedDegree_sum,Sub-scanAverageWeightedDegree_max,Sub-scanAverageWeightedDegree_min,Sub-scanAverageWeightedDegree_median,Sub-scanAverageWeightedDegree_std,Sub-scanNtranstions_mean,Sub-scanNtranstions_sum,Sub-scanNtranstions_max,Sub-scanNtranstions_min,Sub-scanNtranstions_median,Sub-scanNtranstions_std,Sub-scanNUniqueVisits_mean,Sub-scanNUniqueVisits_sum,Sub-scanNUniqueVisits_max,Sub-scanNUniqueVisits_min,Sub-scanNUniqueVisits_median,Sub-scanNUniqueVisits_std,Sub-scanDensity_mean,Sub-scanDensity_sum,Sub-scanDensity_max,Sub-scanDensity_min,Sub-scanDensity_median,Sub-scanDensity_std,Sub-scanEntropy_mean,Sub-scanEntropy_sum,Sub-scanEntropy_max,Sub-scanEntropy_min,Sub-scanEntropy_median,Sub-scanEntropy_std,label_fragmentHighlighted_,participant,task
other,132.1312643,924.91885,158.33955,99.9812,133.30315,21.20778467,,0,,,,,,0,,,,,1,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.571428571,11,2,1,2,0.534522484,0.674983206,4.724882445,0.744727404,0.584097584,0.663374567,0.056281901,0.703548886,4.924842205,0.803422697,0.578626549,0.717729092,0.077297696,0.897091327,6.279639289,1.034058394,0.77655323,0.90400321,0.115157691,0.419270165,2.934891157,0.664878656,0.303963855,0.380488547,0.115651327,0.150555922,1.053891451,0.22697612,0.020861132,0.141385584,0.069715151,56.78950885,397.5265619,62.5571019,49.06419705,55.72346362,4.660676909,0.174986993,1.22490895,0.617985005,0.000461921,0.034445009,0.228399526,0.174986993,1.22490895,0.617985005,0.000461921,0.034445009,0.228399526,0.247218352,1.730528466,0.617985005,0.000461921,0.054623961,0.282693961,0.102755633,0.719289434,0.617985005,0.000461921,0.014266058,0.227568765,0.178763494,0.715053977,0.426893761,0.028537347,0.129811434,0.19099914,0.259586417,1.817104917,0.632251062,0.000461921,0.068890019,0.286164702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857,6,1,0,1,0.377964473,0.142857143,1,1,0,0,0.377964473,0,0,0,0,0,0,10.57509175,74.02564224,19.6468827,3,9.055385138,7.049492199,1.847619048,12.93333333,2,1.333333333,2,0.271386797,4.428571429,31,5,2,5,1.133893419,4.714285714,33,5,3,5,0.755928946,0.923809524,6.466666667,1,0.666666667,1,0.135693399,2.087091496,14.60964047,2.321928095,1,2.321928095,0.494148087,0,20.04,t4_eclipse (C_2.java)
question,204.1578583,1224.94715,366.6286,116.6605,195.799525,91.38224142,366.6286,366.6286,366.6286,366.6286,366.6286,,,0,,,,,1,6,1,1,1,0,0.166666667,1,1,0,0,0.40824829,0,0,0,0,0,0,2,12,4,1,1.5,1.264911064,0.911144947,5.466869682,1.068178332,0.715009973,0.906785106,0.12909429,0.919331461,5.515988763,1.063851466,0.72258234,0.901426183,0.120987081,1.04774863,6.286491779,1.152856694,0.913329171,1.044178899,0.103320917,0.744727098,4.468362587,0.987572435,0.345004708,0.852921692,0.246674481,0.096051967,0.576311804,0.251933058,0.012195114,0.069217134,0.089415843,76.82726297,460.9635778,89.72697987,60.77584771,76.16994887,10.82884328,0.263024668,1.578148005,0.682809724,0.010473844,0.081072461,0.326331962,0.254844934,1.529069604,0.682809724,0.005971799,0.06606317,0.332733427,0.298157429,1.788944573,0.682809724,0.025352015,0.179031659,0.305093858,0.236821981,1.420931885,0.682809724,0.004599764,0.022655616,0.345723194,0.075912393,0.227737179,0.122775105,0.009950749,0.095011325,0.058786994,0.306940472,1.841642832,0.682809724,0.039909791,0.197109108,0.299518579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,1,0,0.5,0.547722558,0.5,3,1,0,0.5,0.547722558,0,0,0,0,0,0,14.73921228,88.43527368,24.16609195,5,17.20060973,7.622778079,1.722222222,10.33333333,2,1.333333333,1.75,0.310316445,2.333333333,14,3,2,2,0.516397779,2.833333333,17,4,2,2.5,0.98319208,0.861111111,5.166666667,1,0.666666667,0.875,0.155158223,1.1949875,7.169925001,1.584962501,1,1,0.302073336,0,20.04,t4_eclipse (C_2.java)
while loop,161.6844243,55619.44195,608.25235,66.5709,141.58905,90.75254446,352.0006232,14432.02555,608.25235,258.30805,325.22305,93.26249817,583.271025,2333.0841,608.25235,558.25985,583.28595,20.40936176,1,344,1,1,1,0,0.119186047,41,1,0,0,0.324479274,0.011627907,4,1,0,0,0.107360166,1.26744186,436,4,0,1,0.61420348,0.733826051,252.4361614,1.172389979,0.36470788,0.717649398,0.14546648,0.74582428,256.5635524,1.173577326,0.350000858,0.728303508,0.180900408,1.005697627,345.9599836,1.278624512,0.53608851,1.021711166,0.132155549,0.423019471,145.518698,1.155674747,0.009039196,0.397166899,0.159456994,0.191128365,65.74815753,0.383419254,0.004373018,0.195215969,0.066867485,61.70742129,21227.35292,98.48075822,31.00016978,60.29370495,12.20569268,0.437971503,141.902767,1.011521203,5.43E-05,0.419010738,0.256141485,0.436859039,141.5423287,1.011521203,5.43E-05,0.419010738,0.257718482,0.487703737,158.0160108,1.011521203,6.96E-05,0.532898502,0.255664838,0.390375449,126.4816456,1.011521203,3.69E-06,0.326461655,0.287584201,0.211635576,22.01009988,0.515360537,2.16E-05,0.194701099,0.152462556,0.50594879,174.0463837,1.503955673,0,0.548315866,0.302936436,0.072674419,25,1,0,0,0.259979476,0.01744186,6,1,0,0,0.13110151,3,3,0.546511628,188,1,0,1,0.498557143,0.418604651,144,1,0,0,0.494048929,0.034883721,12,1,0,0,0.183752554,8.230899508,2831.429431,36.68787266,0,5.692582404,7.919012236,1.725581395,593.6,3.5,0,2,0.810382488,2.398255814,825,7,0,2,1.416725327,2.540697674,874,6,0,3,1.015090558,0.924610592,296.8,1.75,0.5,1,0.344445099,1.102352662,353.8552045,2.321928095,0,1,0.675389124,1,20.04,t4_eclipse (C_2.java)
array list definition,183.9230679,2574.92295,283.3257,75.04355,187.517325,61.09217872,270.809975,541.61995,283.3257,258.29425,270.809975,17.69990804,,0,,,,,1,14,1,1,1,0,0.142857143,2,1,0,0,0.36313652,0,0,0,0,0,0,0.928571429,13,2,0,1,0.615727926,0.940141834,13.16198567,1.136529701,0.691348096,0.931967827,0.141357336,0.961277364,13.45788309,1.144401095,0.709787877,0.937641557,0.131562879,1.043366299,14.60712819,1.202502793,0.900420138,1.020838199,0.092953703,0.769416845,10.77183583,1.05944554,0.326557736,0.855815479,0.26688023,0.088220299,1.235084181,0.236548294,0.023180397,0.067169004,0.064850687,79.10214347,1107.430009,95.46849489,58.07324011,78.28529744,11.89674906,0.139402271,1.533424983,0.801880535,0.031307795,0.063065161,0.224833153,0.139402271,1.533424983,0.801880535,0.031307795,0.063065161,0.224833153,0.143089899,1.573988888,0.801880535,0.031307795,0.083347113,0.223602222,0.135714643,1.492861078,0.801880535,0.031307795,0.042783208,0.226354956,0.028683012,0.057366025,0.028683012,0.028683012,0.028683012,0,0.118539665,1.659555304,0.801880535,0,0.040941683,0.205014549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,7,1,0,0.5,0.518874522,0.428571429,6,1,0,0,0.513552591,0,0,0,0,0,0,12.99703048,181.9584267,24.8394847,0,16.01560977,7.380227125,1.480952381,20.73333333,2,0,1.6,0.54155747,3,42,4,0,4,1.414213562,3.642857143,51,5,0,4,1.446860945,0.797435897,10.36666667,1,0.5,0.8,0.173851543,1.551532692,20.169925,2,0,2,0.748883292,0,20.04,t1_eclipse (B_6.java)
objects declaration and add to array,199.0894855,31655.2282,599.9689,66.5918,166.7004,109.7396557,359.874223,13315.34625,599.9689,258.25995,333.245,97.18747693,570.771,2283.084,599.9689,524.9602,579.07745,33.67716344,1,159,1,1,1,0,0.232704403,37,1,0,0,0.423890489,0.025157233,4,1,0,0,0.157097307,1.113207547,177,3,0,1,0.539351839,0.863105641,137.2337969,1.123845777,0.509671271,0.857799599,0.133033977,0.888769376,141.3143307,1.122535078,0.395417073,0.902930394,0.14931444,1.078218945,171.4368123,1.232705871,0.738949394,1.092452815,0.096262486,0.593682459,94.39551099,1.110394671,0.224965329,0.52410113,0.232145955,0.161872193,25.73767866,0.338718924,0.006595242,0.16354134,0.087697647,72.62292722,11547.04543,94.4030453,42.81238675,72.05516632,11.17863807,0.367461824,53.28196454,0.946217834,0.000662642,0.278493787,0.28978465,0.367308941,53.25979641,0.946217834,0.000662642,0.278493787,0.289931412,0.397741515,57.67251967,0.946217834,0.000662642,0.363150601,0.294336851,0.337335018,48.91357754,0.946217834,2.15E-05,0.22769323,0.305976353,0.198410401,6.150722434,0.577435019,0.002926389,0.147028109,0.164976268,0.37913716,60.28280844,1.189261151,0,0.277626175,0.315573995,0.157232704,25,1,0,0,0.365170174,0.050314465,8,1,0,0,0.219283706,5,4,0.578616352,92,1,0,1,0.495340923,0.402515723,64,1,0,0,0.491954213,0.018867925,3,1,0,0,0.136488425,5.228448771,831.3233546,36.138622,0,4.123105626,4.930188861,1.742976939,277.1333333,3.333333333,0,1.5,0.681371021,2.949685535,469,5,0,3,1.135161518,3.327044025,529,6,0,3,1.009429312,0.89978355,138.5666667,1.666666667,0.5,0.75,0.306975234,1.47884468,227.7420808,2.321928095,0,1.584962501,0.482595303,1,20.04,t1_eclipse (B_6.java)
other,152.5985094,2441.57615,249.9833,66.6524,154.144175,49.13225207,,0,,,,,,0,,,,,1,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3125,21,3,0,1,0.87321246,0.979052716,15.66484345,1.128951046,0.801508541,0.966325985,0.093978281,0.990692528,15.85108045,1.143590422,0.859556664,0.979735098,0.087527954,1.076977897,17.23164635,1.16924019,0.958565803,1.077441561,0.067139527,0.853662453,13.65859924,1.091426257,0.363032494,0.869958698,0.191521374,0.078384451,1.254151215,0.273689525,0.016067544,0.057151099,0.071748923,82.4852037,1319.763259,94.83188788,67.32671748,81.17138271,7.920004981,0.172927336,2.420982698,0.675664858,6.16E-06,0.131726771,0.212161873,0.170354755,2.384966563,0.675664858,6.16E-06,0.131726771,0.214218523,0.187291642,2.622082984,0.675664858,6.16E-06,0.147990845,0.209465093,0.16113561,2.255898547,0.675664858,6.16E-06,0.071461252,0.21789904,0.048356602,0.24178301,0.170456627,0.001905355,0.033370119,0.070089945,0.166565344,2.665045502,0.675664858,0,0.090001627,0.206091666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6875,11,1,0,1,0.478713554,0.3125,5,1,0,0,0.478713554,0,0,0,0,0,0,10.38468273,166.1549237,35.0142828,3.16227766,6.854101966,8.627606206,1.56875,25.1,2,0,1.6,0.464354391,3.375,54,4,0,4,1.024695077,4.0625,65,5,0,4,1.236594787,0.836666667,12.55,1,0.75,0.8,0.104311804,1.833985,27.509775,2,1.584962501,2,0.210462425,0,20.04,t1_eclipse (B_6.java)
question,238.9831125,17206.7841,766.63495,66.6186,195.81215,158.6028156,404.44495,10515.5687,766.63495,266.6333,345.7978,149.104305,673.28248,3366.4124,766.63495,616.6072,633.3315,65.19704357,1,72,1,1,1,0,0.361111111,26,1,0,0,0.483693406,0.069444444,5,1,0,0,0.255992346,1.291666667,93,3,0,1,0.739956223,0.953840595,68.67652284,1.155454881,0.512717881,1.00285239,0.153998543,0.97154939,69.95155611,1.166274043,0.434249852,1.024399179,0.163890877,1.104477425,79.52237463,1.232496837,0.976007924,1.120982642,0.063634949,0.74713269,53.79355368,1.136397652,0.228926826,0.912129595,0.303769235,0.118731747,8.548685816,0.339231456,0.004687547,0.064203496,0.103414006,80.2383799,5777.163353,97.05820997,43.06830201,84.23960078,13.01411894,0.216693982,14.30180279,0.934638085,5.66E-05,0.105409609,0.282308129,0.213114102,14.06553074,0.934638085,4.15E-05,0.104159369,0.283205031,0.246286999,16.25494195,0.934638085,6.71E-05,0.118305958,0.300323821,0.190680843,12.58493567,0.934638085,7.76E-06,0.089246451,0.288537381,0.114931741,2.413566558,0.615138812,1.47E-05,0.047136983,0.167343934,0.234360501,16.87395607,0.965772788,0,0.118305958,0.297895037,0.194444444,14,1,0,0,0.398549797,0.152777778,11,1,0,0,0.362297917,3,4,0.569444444,41,1,0,1,0.498628793,0.430555556,31,1,0,0,0.498628793,0,0,0,0,0,0,8.95414001,644.6980807,34.525353,1,6.535533906,7.342988532,1.716203704,123.5666667,3,0,1.5,0.512473307,2.902777778,209,5,0,3,0.995195815,3.402777778,245,5,0,4,1.170767441,0.882619048,61.78333333,1.5,0.666666667,0.75,0.213558828,1.473553405,103.1487384,2.321928095,0.918295834,1.584962501,0.431715727,0,20.04,t1_eclipse (B_6.java)
while loop,190.2493017,22639.6669,574.9792,66.64575,166.6767,101.1590687,332.7118732,9315.93245,574.9792,258.25395,299.96315,86.7197494,574.97585,1149.9517,574.9792,574.9725,574.97585,0.004737615,1,119,1,1,1,0,0.235294118,28,1,0,0,0.425976095,0.016806723,2,1,0,0,0.129090251,1.176470588,140,3,0,1,0.577062386,0.876862818,104.3466753,1.169929092,0.563435391,0.859161727,0.139872202,0.906853416,107.9155565,1.17726493,0.547374983,0.915394089,0.145938001,1.079301574,128.4368873,1.250280462,0.850631174,1.081743912,0.078198397,0.587541207,69.91740366,1.130193439,0.139432209,0.513754567,0.24411632,0.160454877,19.09413042,0.36436918,0.006598676,0.174968282,0.085817133,73.78433527,8780.335897,98.27404371,47.8920082,72.34737417,11.74785849,0.362603024,39.88633269,1.02375694,0.002040863,0.367135526,0.286703689,0.359318292,39.52501212,1.02375694,0.002040863,0.367135526,0.289544252,0.403335394,44.3668933,1.02375694,0.002040863,0.489979512,0.294188143,0.325155388,35.76709264,1.02375694,2.15E-05,0.216338403,0.306137204,0.21124315,5.914808204,0.590629909,0.016728435,0.178432535,0.169311481,0.396817338,47.22126324,1.273386065,0,0.445655482,0.325119346,0.100840336,12,1,0,0,0.30239042,0.016806723,2,1,0,0,0.129090251,2,1,0.655462185,78,1,0,1,0.477226713,0.319327731,38,1,0,0,0.46818751,0.025210084,3,1,0,0,0.15742552,5.937331452,706.5424428,40.85339643,0,4.242640687,5.7526879,1.83837535,218.7666667,3,0,2,0.534948801,3.235294118,385,5,0,3,1.117699532,3.462184874,412,6,0,3,1.226749294,0.95115942,109.3833333,1.5,0.5,1,0.208268665,1.615318566,185.761635,2.321928095,0,1.584962501,0.514902646,1,20.04,t1_eclipse (B_6.java)
add to array,184.744775,12932.13425,991.5038,66.6499,158.3562,123.6391913,368.8941545,4057.8357,991.5038,250.00675,266.6935,214.0478261,991.5038,991.5038,991.5038,991.5038,991.5038,,1,70,1,1,1,0,0.157142857,11,1,0,0,0.366563132,0.014285714,1,1,0,0,0.119522861,1.185714286,83,3,0,1,0.687209378,0.800660917,56.0462642,1.031736385,0.126499851,0.797664788,0.152364678,0.828328286,57.98298004,1.06462982,0.035308465,0.883363291,0.182579128,0.993801619,69.56611336,1.14192511,0.650928677,1.00117314,0.076644449,0.53170266,37.21918619,0.981017168,-0.076231821,0.489825601,0.223664017,0.1534071,10.73849698,0.389498334,0.01554115,0.166973915,0.076151717,67.31979137,4712.385396,86.66585631,10.62598749,67.0038422,12.80631503,0.308270084,19.11274519,0.805563694,8.60E-06,0.287426073,0.268963653,0.308058266,19.09961249,0.805563694,8.60E-06,0.287426073,0.269196694,0.336993632,20.89360518,0.805563694,8.60E-06,0.320655363,0.268585106,0.279758353,17.34501789,0.805563694,6.98E-06,0.137410533,0.285051403,0.138606813,2.494922636,0.463369898,0.001417998,0.117315858,0.131481636,0.314126371,21.98884595,0.970396662,0,0.289244894,0.289772418,0,0,0,0,0,0,0.028571429,2,1,0,0,0.167801519,0,1,0.571428571,40,1,0,1,0.498444786,0.385714286,27,1,0,0,0.490278157,0.042857143,3,1,0,0,0.203997321,7.181473718,502.7031602,48.0416486,0,5.049509757,7.979911796,1.728571429,121,2.666666667,1,1.666666667,0.482521748,2.842857143,199,6,1,2,1.35812866,3.228571429,226,6,2,3,1.169310816,0.864285714,60.5,1.333333333,0.5,0.833333333,0.241260874,1.316385398,92.14697786,2.584962501,0,1,0.690431035,0,20.04,t2_eclipse (B_11.java)
array list definition,174.97284,874.8642,274.9876,74.9877,158.29235,82.49589919,274.9876,274.9876,274.9876,274.9876,274.9876,,,0,,,,,1,5,1,1,1,0,0.2,1,1,0,0,0.447213595,0,0,0,0,0,0,0.6,3,1,0,1,0.547722558,0.926367085,4.631835427,1.079615268,0.7210134,0.979368188,0.142940668,0.95163558,4.758177902,1.071093952,0.717242042,0.966395382,0.139057271,1.068990984,5.344954919,1.144266746,0.992777925,1.066077647,0.053895858,0.762019417,3.810097086,1.042635663,0.475418677,0.905304985,0.26489424,0.109252234,0.546261171,0.225013668,0.029295218,0.064608963,0.084532073,77.81483517,389.0741758,90.6876825,60.56512563,82.26692779,12.00701611,0.387893893,1.163681678,0.590658969,0.06167756,0.511345148,0.285281427,0.387893893,1.163681678,0.590658969,0.06167756,0.511345148,0.285281427,0.387893893,1.163681678,0.590658969,0.06167756,0.511345148,0.285281427,0.387893893,1.163681678,0.590658969,0.06167756,0.511345148,0.285281427,,0,,,,,0.232736336,1.163681678,0.590658969,0,0.06167756,0.292969704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,4,1,0,1,0.447213595,0.2,1,1,0,0,0.447213595,0,0,0,0,0,0,7.091596459,35.4579823,15.03329638,2.828427125,5,5.161063318,2.333333333,11.66666667,2.666666667,2,2.5,0.311804782,5.2,26,6,4,5,0.836660027,4.6,23,6,3,4,1.341640786,1.166666667,5.833333333,1.333333333,1,1.25,0.155902391,2.202756238,11.01378119,2.584962501,1.921928095,2,0.350357759,0,20.04,t2_eclipse (B_11.java)
for loop,173.6983481,4516.15705,424.9663,66.6586,162.49565,83.67906797,333.2957333,999.8872,424.9663,274.94335,299.97755,80.36975418,,0,,,,,1,26,1,1,1,0,0.115384615,3,1,0,0,0.325812594,0,0,0,0,0,0,1.269230769,33,4,0,1,0.77757018,0.770035101,20.02091263,1.016178946,0.440735553,0.841620881,0.172422928,0.783713233,20.37654405,1.066784402,0.433906882,0.866592046,0.192491884,0.949119677,24.67711159,1.084859716,0.745562875,0.951198285,0.095316558,0.545826104,14.19147871,0.985473895,0.253420053,0.535519859,0.209750822,0.119521983,3.107571561,0.198863936,0.016257221,0.123828026,0.052466083,64.77516073,1684.154179,85.3590315,37.02178642,70.69615399,14.52413053,0.198044588,4.753070102,0.776620581,0.001376942,0.167905636,0.185205089,0.197851092,4.748426214,0.776620581,0.000762279,0.167905636,0.185417405,0.230036089,5.520866135,0.776620581,0.001376942,0.167905636,0.209289644,0.166440077,3.994561846,0.776620581,1.94E-05,0.108024794,0.19310459,0.153554654,1.074882577,0.456951985,0.006535314,0.075411419,0.170379494,0.221021288,5.746553499,0.776620581,0,0.167905636,0.213046179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538462,12,1,0,0,0.508391127,0.538461538,14,1,0,1,0.508391127,0,0,0,0,0,0,5.469881771,142.2169261,18.02775638,1,4.621320344,4.079657969,1.580769231,41.1,2.8,1,1.5,0.506155275,2.730769231,71,7,1,2,1.801281595,3.269230769,85,6,2,3,1.401647382,0.790384615,20.55,1.4,0.5,0.75,0.253077637,1.16141971,30.19691247,2.584962501,0,1,0.840745279,0,20.04,t2_eclipse (B_11.java)
object and add to array complex if else,182.3740376,51611.85265,649.96005,66.62455,158.3206,103.7412999,358.2964567,18631.41575,649.96005,258.3216,345.76995,88.75774962,637.467875,1274.93575,649.96005,624.9757,637.467875,17.66660331,1,283,1,1,1,0,0.183745583,52,1,0,0,0.387962626,0.007067138,2,1,0,0,0.083917084,1.19434629,338,4,0,1,0.725207121,0.83463371,236.20134,1.089533965,-0.000599992,0.879312234,0.208322622,0.853816449,241.630055,1.090323138,-8.41E-05,0.903732553,0.21914805,0.988931853,279.8677143,1.186491196,1.98E-10,1.023517793,0.186884414,0.629297601,178.0912212,1.056784295,-0.081938409,0.63992082,0.279397499,0.11797455,33.38679771,0.441016117,4.07E-10,0.096863575,0.089096094,70.22634341,19874.05519,92.53782241,-0.050399314,73.86222762,17.53026427,0.258788676,64.697169,1.247585621,1.35E-12,0.145866311,0.274513809,0.257695789,64.42394731,1.247585621,1.35E-12,0.142130393,0.2752694,0.297780867,74.44521686,1.247585621,1.35E-12,0.184801561,0.29415682,0.220977305,55.24432615,1.247585621,1.35E-12,0.074455795,0.283836556,0.184142616,13.442411,0.565354559,7.03E-06,0.127663312,0.180454523,0.27277659,77.19577508,1.247585621,0,0.140271228,0.303453317,0.148409894,42,1,0,0,0.356135605,0.091872792,26,1,0,0,0.28935798,6,9,0.130742049,37,1,0,0,0.337715228,0.83745583,237,1,0,1,0.369602855,0.03180212,9,1,0,0,0.175783766,14.73846336,4170.985132,102.0784012,0,9,17.77869157,0.581154299,164.4666667,3,0,0,0.940996782,0.756183746,214,7,0,0,1.310320028,0.791519435,224,6,0,0,1.278157537,0.945210728,82.23333333,1.5,0.5,1,0.316104234,1.058084386,92.0533416,2.521640636,0,1,0.678822894,1,20.04,t2_eclipse (B_11.java)
other,160.1720833,1441.54875,299.99245,74.96405,124.97665,85.67651758,291.67,583.34,299.99245,283.34755,291.67,11.76972166,,0,,,,,1,9,1,1,1,0,0.222222222,2,1,0,0,0.440958552,0,0,0,0,0,0,1.333333333,12,3,1,1,0.707106781,0.916635692,8.249721232,1.070966218,0.731419233,0.940775215,0.109781192,0.996053903,8.96448513,1.076365601,0.905383612,1.026376721,0.06680368,1.032302629,9.290723658,1.088917131,0.94415544,1.054765715,0.061423402,0.605243164,5.447188472,1.035245094,0.02037737,0.555780323,0.288121708,0.141333907,1.272005163,0.305276226,0.002326301,0.178130834,0.09588291,77.10192874,693.9173587,89.96116232,61.43921554,79.1123942,9.25275765,0.195516646,1.759649811,0.533136808,0.001444706,0.031654806,0.253840664,0.195359559,1.758236028,0.533136808,3.09E-05,0.031654806,0.253976178,0.196066819,1.764601375,0.533136808,0.004274487,0.031654806,0.253370167,0.195123559,1.756112031,0.533136808,2.87E-05,0.031654806,0.254179056,0.002725658,0.005451316,0.003000654,0.002450663,0.002725658,0.000388902,0.196076881,1.764691927,0.533136808,0.004305409,0.031654806,0.2533616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,6,1,0,1,0.5,0.222222222,2,1,0,0,0.440958552,0,0,0,0,0,0,9.162037255,82.45833529,18,0,10,5.761007508,2.055555556,18.5,2.5,2,2,0.166666667,5.444444444,49,6,4,6,0.881917104,5.333333333,48,6,4,6,1,1.027777778,9.25,1.25,1,1,0.083333333,2.381300344,21.4317031,2.584962501,1.921928095,2.584962501,0.306323443,0,20.04,t2_eclipse (B_11.java)
