,cross_validation,level,classifier_f1,classifier_recall,classifier_accuracy,classifier_precision
0,participant,line,0.6750869051134513,0.6736416114725616,0.6993743925052187,0.7122513924988674
0,participant,fragment,0.8497545420414281,0.8547075147075147,0.8515786635566119,0.8624599246069835
0,task,line,0.6516694306661756,0.659826597377897,0.6791755720045312,0.6893960050965643
0,task,fragment,0.8079147584654687,0.8085811821922935,0.8421354378487296,0.8528669530617679
0,participant-task,line,0.6473649560379866,0.7072751322751323,0.7080480711493784,0.6951040564373898
0,participant-task,fragment,0.7977989417989418,0.8283950617283952,0.8416446208112874,0.8114814814814815
