,importance,feature,round
fixation_PupilSize_mean_sum,0.0,fixation_PupilSize_mean_sum,5;12
Fixation Count_sum,0.0,Fixation Count_sum,5;12
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,5;12
horizontal saccade_sum,0.7397117073437516,horizontal saccade_sum,6;12
fixation_PupilSize_std_sum,0.0548037872620775,fixation_PupilSize_std_sum,6;12
Fixation Duration 250_sum,0.0348530303664608,Fixation Duration 250_sum,6;12
Fixation Duration_sum,0.0306504873566427,Fixation Duration_sum,6;12
Sub-scanNtranstions_sum,0.0283355638476023,Sub-scanNtranstions_sum,6;12
fixation_NumberOfPupilPeaks_sum,0.0277569289229459,fixation_NumberOfPupilPeaks_sum,6;12
non-horizontal saccade_sum,0.0230958048620455,non-horizontal saccade_sum,6;12
fixation_PupilSize_sum_sum,0.0161266823064575,fixation_PupilSize_sum_sum,6;12
Fixation Count 250_sum,0.0127487961476725,Fixation Count 250_sum,6;12
fixation_PupilPeaksAmplitude_min_sum,0.0120089963454094,fixation_PupilPeaksAmplitude_min_sum,6;12
Fixation Count_sum,0.0087897682841503,Fixation Count_sum,6;12
IsfixationInSpatialTemporalCluster_sum,0.0084991974317817,IsfixationInSpatialTemporalCluster_sum,6;12
saccadic amplitude_sum,0.0026192495230018,saccadic amplitude_sum,6;12
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,6;12
fixation_PupilPeaksAmplitude_mean_sum,0.0,fixation_PupilPeaksAmplitude_mean_sum,6;12
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,6;12
fixation_PupilSize_min_sum,0.0,fixation_PupilSize_min_sum,6;12
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,6;12
fixation_PupilSize_mean_sum,0.0,fixation_PupilSize_mean_sum,6;12
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,6;12
horizontal saccade_sum,0.6738932982233056,horizontal saccade_sum,7;12
fixation_PupilPeaksAmplitude_sum_sum,0.0641441419331748,fixation_PupilPeaksAmplitude_sum_sum,7;12
Sub-scanNtranstions_sum,0.0371001281868679,Sub-scanNtranstions_sum,7;12
Fixation Count 250_sum,0.0346331526961066,Fixation Count 250_sum,7;12
fixation_PupilSize_min_sum,0.0338925990712593,fixation_PupilSize_min_sum,7;12
Sub-scanNUniqueVisits_sum,0.0282660216055482,Sub-scanNUniqueVisits_sum,7;12
fixation_PupilSize_std_sum,0.0203448756827068,fixation_PupilSize_std_sum,7;12
fixation_NumberOfPupilPeaks_sum,0.0200448390278898,fixation_NumberOfPupilPeaks_sum,7;12
Sub-scanDensity_sum,0.0175413588294944,Sub-scanDensity_sum,7;12
Fixation Duration_sum,0.0173743303168973,Fixation Duration_sum,7;12
fixation_PupilPeaksAmplitude_std_sum,0.0151520043045466,fixation_PupilPeaksAmplitude_std_sum,7;12
saccadic amplitude_sum,0.0130956608632153,saccadic amplitude_sum,7;12
fixation_PupilPeaksAmplitude_median_sum,0.0093655849544401,fixation_PupilPeaksAmplitude_median_sum,7;12
Fixation Duration 250_sum,0.0075760021522733,Fixation Duration 250_sum,7;12
non-horizontal saccade_sum,0.0075760021522733,non-horizontal saccade_sum,7;12
fixation_PupilPeaksAmplitude_min_sum,0.0,fixation_PupilPeaksAmplitude_min_sum,7;12
Spacecluster_countUniqueClusters,0.0,Spacecluster_countUniqueClusters,7;12
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,7;12
fixation_PupilPeaksAmplitude_mean_sum,0.0,fixation_PupilPeaksAmplitude_mean_sum,7;12
Fixation Count_sum,0.0,Fixation Count_sum,7;12
horizontal saccade_sum,0.69682758900545,horizontal saccade_sum,8;12
fixation_PupilSize_min_sum,0.0710132156333307,fixation_PupilSize_min_sum,8;12
fixation_PupilSize_std_sum,0.041161726815563,fixation_PupilSize_std_sum,8;12
fixation_PupilPeaksAmplitude_max_sum,0.0382176484230055,fixation_PupilPeaksAmplitude_max_sum,8;12
saccadic amplitude_sum,0.0338775088547815,saccadic amplitude_sum,8;12
fixation_PupilPeaksAmplitude_min_sum,0.025422603475661,fixation_PupilPeaksAmplitude_min_sum,8;12
Fixation Duration 250_sum,0.0227922077922077,Fixation Duration 250_sum,8;12
Sub-scanNUniqueVisits_sum,0.0217351504243881,Sub-scanNUniqueVisits_sum,8;12
Sub-scanNtranstions_sum,0.0173654916512059,Sub-scanNtranstions_sum,8;12
Sub-scanAverageWeightedDegree_sum,0.0091168831168831,Sub-scanAverageWeightedDegree_sum,8;12
fixation_PupilPeaksAmplitude_median_sum,0.0085470779220779,fixation_PupilPeaksAmplitude_median_sum,8;12
fixation_PupilPeaksAmplitude_sum_sum,0.0056980519480519,fixation_PupilPeaksAmplitude_sum_sum,8;12
fixation_NumberOfPupilPeaks_sum,0.0049141191019635,fixation_NumberOfPupilPeaks_sum,8;12
Fixation Count 250_sum,0.0033107258354294,Fixation Count 250_sum,8;12
Fixation Duration_sum,0.0,Fixation Duration_sum,8;12
fixation_PupilPeaksAmplitude_mean_sum,0.0,fixation_PupilPeaksAmplitude_mean_sum,8;12
fixation_PupilSize_max_sum,0.0,fixation_PupilSize_max_sum,8;12
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,8;12
Fixation Count_sum,0.0,Fixation Count_sum,8;12
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,8;12
horizontal saccade_sum,0.7007274400093669,horizontal saccade_sum,9;12
Sub-scanNUniqueVisits_sum,0.0539323308270676,Sub-scanNUniqueVisits_sum,9;12
Sub-scanNtranstions_sum,0.0324800619434765,Sub-scanNtranstions_sum,9;12
Fixation Duration_sum,0.0306917067606722,Fixation Duration_sum,9;12
fixation_PupilPeaksAmplitude_mean_sum,0.0291884513002525,fixation_PupilPeaksAmplitude_mean_sum,9;12
Fixation Duration 250_sum,0.0275719378660555,Fixation Duration 250_sum,9;12
fixation_PupilSize_std_sum,0.022538041229801,fixation_PupilSize_std_sum,9;12
fixation_PupilSize_min_sum,0.0211156462585033,fixation_PupilSize_min_sum,9;12
fixation_PupilSize_median_sum,0.0194285714285714,fixation_PupilSize_median_sum,9;12
Fixation Count_sum,0.0137619047619047,Fixation Count_sum,9;12
Fixation Count 250_sum,0.0121894911810878,Fixation Count 250_sum,9;12
Sub-scanDensity_sum,0.012063492063492,Sub-scanDensity_sum,9;12
fixation_PupilPeaksAmplitude_median_sum,0.009453781512605,fixation_PupilPeaksAmplitude_median_sum,9;12
fixation_NumberOfPupilPeaks_sum,0.0091428571428571,fixation_NumberOfPupilPeaks_sum,9;12
fixation_PupilPeaksAmplitude_max_sum,0.0057142857142857,fixation_PupilPeaksAmplitude_max_sum,9;12
fixation_PupilSize_mean_sum,0.0,fixation_PupilSize_mean_sum,9;12
fixation_PupilSize_sum_sum,0.0,fixation_PupilSize_sum_sum,9;12
fixation_PupilPeaksAmplitude_min_sum,0.0,fixation_PupilPeaksAmplitude_min_sum,9;12
saccadic amplitude_sum,0.0,saccadic amplitude_sum,9;12
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,9;12
horizontal saccade_sum,0.6139970054092158,horizontal saccade_sum,0;13
Fixation Duration 250_sum,0.0949519171912039,Fixation Duration 250_sum,0;13
Sub-scanNUniqueVisits_sum,0.0475610521160827,Sub-scanNUniqueVisits_sum,0;13
fixation_PupilSize_mean_sum,0.0423171642368527,fixation_PupilSize_mean_sum,0;13
non-horizontal saccade_sum,0.0412920681960722,non-horizontal saccade_sum,0;13
saccadic amplitude_sum,0.0311955074419962,saccadic amplitude_sum,0;13
fixation_PupilPeaksAmplitude_min_sum,0.0221657099586534,fixation_PupilPeaksAmplitude_min_sum,0;13
fixation_PupilPeaksAmplitude_max_sum,0.0217603492981253,fixation_PupilPeaksAmplitude_max_sum,0;13
Sub-scanDensity_sum,0.0211320854834644,Sub-scanDensity_sum,0;13
fixation_PupilPeaksAmplitude_mean_sum,0.0200314560312006,fixation_PupilPeaksAmplitude_mean_sum,0;13
fixation_PupilPeaksAmplitude_median_sum,0.0127633849143835,fixation_PupilPeaksAmplitude_median_sum,0;13
Fixation Count 250_sum,0.0090398365679264,Fixation Count 250_sum,0;13
SpaceTimeCluster_countUniqueClusters,0.0086093681599299,SpaceTimeCluster_countUniqueClusters,0;13
fixation_NumberOfPupilPeaks_sum,0.0075331971399387,fixation_NumberOfPupilPeaks_sum,0;13
Fixation Count_sum,0.005649897854954,Fixation Count_sum,0;13
fixation_PupilSize_sum_sum,0.0,fixation_PupilSize_sum_sum,0;13
fixation_PupilSize_max_sum,0.0,fixation_PupilSize_max_sum,0;13
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,0;13
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,0;13
Fixation Duration_sum,0.0,Fixation Duration_sum,0;13
horizontal saccade_sum,0.715622581899799,horizontal saccade_sum,1;13
saccadic amplitude_sum,0.0540369727325402,saccadic amplitude_sum,1;13
Fixation Duration 250_sum,0.0423057503017921,Fixation Duration 250_sum,1;13
fixation_PupilSize_std_sum,0.0406737228601922,fixation_PupilSize_std_sum,1;13
Sub-scanNUniqueVisits_sum,0.0305859131997511,Sub-scanNUniqueVisits_sum,1;13
Sub-scanAverageWeightedDegree_sum,0.0253199126092384,Sub-scanAverageWeightedDegree_sum,1;13
Fixation Duration_sum,0.0231301126824074,Fixation Duration_sum,1;13
fixation_NumberOfPupilPeaks_sum,0.0199076856129424,fixation_NumberOfPupilPeaks_sum,1;13
Fixation Count 250_sum,0.0150663942798774,Fixation Count 250_sum,1;13
fixation_PupilPeaksAmplitude_mean_sum,0.0149215251041093,fixation_PupilPeaksAmplitude_mean_sum,1;13
SpaceTimeCluster_countUniqueClusters,0.0089404977045426,SpaceTimeCluster_countUniqueClusters,1;13
Fixation Count_sum,0.0075331971399387,Fixation Count_sum,1;13
fixation_PupilPeaksAmplitude_min_sum,0.0019557338728687,fixation_PupilPeaksAmplitude_min_sum,1;13
fixation_PupilPeaksAmplitude_max_sum,0.0,fixation_PupilPeaksAmplitude_max_sum,1;13
IsfixationInSpatialCluster_sum,0.0,IsfixationInSpatialCluster_sum,1;13
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,1;13
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,1;13
fixation_PupilSize_min_sum,0.0,fixation_PupilSize_min_sum,1;13
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,1;13
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,1;13
horizontal saccade_sum,0.673093306394076,horizontal saccade_sum,2;13
fixation_PupilSize_min_sum,0.0514829261681985,fixation_PupilSize_min_sum,2;13
Fixation Duration 250_sum,0.041958968928659,Fixation Duration 250_sum,2;13
fixation_PupilSize_std_sum,0.0378991166795474,fixation_PupilSize_std_sum,2;13
Sub-scanNtranstions_sum,0.0346561628616668,Sub-scanNtranstions_sum,2;13
Sub-scanDensity_sum,0.0331481481481481,Sub-scanDensity_sum,2;13
Fixation Duration_sum,0.0301551930130337,Fixation Duration_sum,2;13
Sub-scanNUniqueVisits_sum,0.02394850158124,Sub-scanNUniqueVisits_sum,2;13
saccadic amplitude_sum,0.0153757531346686,saccadic amplitude_sum,2;13
Fixation Count 250_sum,0.0120434538412066,Fixation Count 250_sum,2;13
fixation_PupilPeaksAmplitude_max_sum,0.0103754235776707,fixation_PupilPeaksAmplitude_max_sum,2;13
Fixation Count_sum,0.0096584502257154,Fixation Count_sum,2;13
fixation_NumberOfPupilPeaks_sum,0.0093112775697045,fixation_NumberOfPupilPeaks_sum,2;13
non-horizontal saccade_sum,0.0066509125497889,non-horizontal saccade_sum,2;13
fixation_PupilPeaksAmplitude_mean_sum,0.0055867665418227,fixation_PupilPeaksAmplitude_mean_sum,2;13
fixation_PupilSize_median_sum,0.0046556387848522,fixation_PupilSize_median_sum,2;13
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,2;13
fixation_PupilPeaksAmplitude_min_sum,0.0,fixation_PupilPeaksAmplitude_min_sum,2;13
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,2;13
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,2;13
horizontal saccade_sum,0.6802993320955326,horizontal saccade_sum,3;13
fixation_NumberOfPupilPeaks_sum,0.0587547194180944,fixation_NumberOfPupilPeaks_sum,3;13
Fixation Count 250_sum,0.0576855608460582,Fixation Count 250_sum,3;13
fixation_PupilPeaksAmplitude_mean_sum,0.0337589317920968,fixation_PupilPeaksAmplitude_mean_sum,3;13
Sub-scanAverageWeightedDegree_sum,0.0297224286514547,Sub-scanAverageWeightedDegree_sum,3;13
fixation_PupilPeaksAmplitude_sum_sum,0.027847737920506,fixation_PupilPeaksAmplitude_sum_sum,3;13
fixation_PupilPeaksAmplitude_max_sum,0.0244133392581307,fixation_PupilPeaksAmplitude_max_sum,3;13
Fixation Duration_sum,0.0228152413338428,Fixation Duration_sum,3;13
saccadic amplitude_sum,0.0135311179936764,saccadic amplitude_sum,3;13
Fixation Count_sum,0.0120188747116951,Fixation Count_sum,3;13
fixation_PupilPeaksAmplitude_median_sum,0.0084507712816606,fixation_PupilPeaksAmplitude_median_sum,3;13
Fixation Duration 250_sum,0.0084507712816606,Fixation Duration 250_sum,3;13
fixation_PupilSize_min_sum,0.0084507712816606,fixation_PupilSize_min_sum,3;13
IsfixationInSpatialCluster_sum,0.0084507712816606,IsfixationInSpatialCluster_sum,3;13
fixation_PupilSize_std_sum,0.0053496308522692,fixation_PupilSize_std_sum,3;13
fixation_PupilPeaksAmplitude_min_sum,0.0,fixation_PupilPeaksAmplitude_min_sum,3;13
IsfixationInSpatialTemporalCluster_sum,0.0,IsfixationInSpatialTemporalCluster_sum,3;13
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,3;13
Sub-scanNUniqueVisits_sum,0.0,Sub-scanNUniqueVisits_sum,3;13
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,3;13
horizontal saccade_sum,0.6166263938578801,horizontal saccade_sum,4;13
Fixation Duration_sum,0.068131155857824,Fixation Duration_sum,4;13
Sub-scanAverageWeightedDegree_sum,0.04293950905498,Sub-scanAverageWeightedDegree_sum,4;13
fixation_PupilSize_mean_sum,0.0373765875362563,fixation_PupilSize_mean_sum,4;13
fixation_NumberOfPupilPeaks_sum,0.0365642827985935,fixation_NumberOfPupilPeaks_sum,4;13
fixation_PupilSize_min_sum,0.0328877776405866,fixation_PupilSize_min_sum,4;13
fixation_PupilPeaksAmplitude_mean_sum,0.0302041467963636,fixation_PupilPeaksAmplitude_mean_sum,4;13
SpaceTimeCluster_countUniqueClusters,0.0287084002140181,SpaceTimeCluster_countUniqueClusters,4;13
fixation_PupilPeaksAmplitude_max_sum,0.0193552958826254,fixation_PupilPeaksAmplitude_max_sum,4;13
fixation_PupilSize_median_sum,0.0177538790797217,fixation_PupilSize_median_sum,4;13
Sub-scanNtranstions_sum,0.0173463152262679,Sub-scanNtranstions_sum,4;13
Fixation Duration 250_sum,0.0144327234206849,Fixation Duration 250_sum,4;13
fixation_PupilPeaksAmplitude_median_sum,0.0138434019302304,fixation_PupilPeaksAmplitude_median_sum,4;13
fixation_PupilPeaksAmplitude_sum_sum,0.0108789727126805,fixation_PupilPeaksAmplitude_sum_sum,4;13
saccadic amplitude_sum,0.0072850263700985,saccadic amplitude_sum,4;13
fixation_PupilSize_sum_sum,0.0056661316211878,fixation_PupilSize_sum_sum,4;13
Fixation Count 250_sum,0.0,Fixation Count 250_sum,4;13
