,importance,feature,round
fixation_PupilPeaksAmplitude_max_sum,0.0629231382836733,fixation_PupilPeaksAmplitude_max_sum,6;6
Sub-scanEntropy_sum,0.060140717167897,Sub-scanEntropy_sum,6;6
fixation_PupilPeaksAmplitude_mean_sum,0.0359339216659652,fixation_PupilPeaksAmplitude_mean_sum,6;6
non-horizontal saccade_sum,0.0335980476674795,non-horizontal saccade_sum,6;6
fixation_PupilSize_max_sum,0.0318921866152714,fixation_PupilSize_max_sum,6;6
fixation_PupilSize_min_sum,0.0230561349615587,fixation_PupilSize_min_sum,6;6
Sub-scanNtranstions_sum,0.0220552675526934,Sub-scanNtranstions_sum,6;6
horizontal saccade_std,0.0215387166596844,horizontal saccade_std,6;6
fixation_PupilPeaksAmplitude_min_sum,0.0211272383135406,fixation_PupilPeaksAmplitude_min_sum,6;6
fixation_PupilPeaksAmplitude_sum_sum,0.0117810420035389,fixation_PupilPeaksAmplitude_sum_sum,6;6
fixation_PupilSize_median_sum,0.0110944673949475,fixation_PupilSize_median_sum,6;6
Sub-scanAverageWeightedDegree_sum,0.0108354280128473,Sub-scanAverageWeightedDegree_sum,6;6
fixation_PupilPeaksAmplitude_median_sum,0.0092680479618143,fixation_PupilPeaksAmplitude_median_sum,6;6
Fixation Count_sum,0.0068996192988128,Fixation Count_sum,6;6
Sub-scanDensity_sum,0.0055083577061607,Sub-scanDensity_sum,6;6
fixation_PupilSize_std_sum,0.313267458047937,fixation_PupilSize_std_sum,7;6
fixation_PupilSize_max_sum,0.0864760570818818,fixation_PupilSize_max_sum,7;6
fixation_PupilSize_min_sum,0.077435316285178,fixation_PupilSize_min_sum,7;6
fixation_PupilPeaksAmplitude_sum_sum,0.0641793171369244,fixation_PupilPeaksAmplitude_sum_sum,7;6
Sub-scanEntropy_sum,0.0600078936014823,Sub-scanEntropy_sum,7;6
fixation_PupilPeaksAmplitude_std_sum,0.0592666102921052,fixation_PupilPeaksAmplitude_std_sum,7;6
horizontal saccade_sum,0.0537574882878798,horizontal saccade_sum,7;6
fixation_PupilPeaksAmplitude_min_sum,0.0476388073408981,fixation_PupilPeaksAmplitude_min_sum,7;6
horizontal saccade_std,0.0418115052941003,horizontal saccade_std,7;6
fixation_PupilSize_mean_sum,0.0278313109065298,fixation_PupilSize_mean_sum,7;6
fixation_PupilSize_median_sum,0.0275830150475319,fixation_PupilSize_median_sum,7;6
fixation_PupilPeaksAmplitude_median_sum,0.0248302669281666,fixation_PupilPeaksAmplitude_median_sum,7;6
Sub-scanNUniqueVisits_sum,0.024672028331786,Sub-scanNUniqueVisits_sum,7;6
fixation_PupilPeaksAmplitude_max_sum,0.0204384873117714,fixation_PupilPeaksAmplitude_max_sum,7;6
fixation_NumberOfPupilPeaks_sum,0.0189882150685767,fixation_NumberOfPupilPeaks_sum,7;6
Sub-scanNtranstions_sum,0.0148040945208728,Sub-scanNtranstions_sum,7;6
Sub-scanAverageWeightedDegree_sum,0.0119416873449131,Sub-scanAverageWeightedDegree_sum,7;6
Fixation Count_sum,0.0117268812896333,Fixation Count_sum,7;6
Sub-scanDensity_sum,0.0083274879098282,Sub-scanDensity_sum,7;6
fixation_PupilSize_sum_sum,0.0050160719720024,fixation_PupilSize_sum_sum,7;6
fixation_PupilSize_mean_sum,0.2708601692933247,fixation_PupilSize_mean_sum,8;6
fixation_PupilSize_std_sum,0.1171593549117367,fixation_PupilSize_std_sum,8;6
Fixation Duration_sum,0.0619495989216158,Fixation Duration_sum,8;6
fixation_PupilPeaksAmplitude_min_sum,0.0564494786074882,fixation_PupilPeaksAmplitude_min_sum,8;6
fixation_NumberOfPupilPeaks_sum,0.0524120432028195,fixation_NumberOfPupilPeaks_sum,8;6
fixation_PupilPeaksAmplitude_std_sum,0.0457826470699767,fixation_PupilPeaksAmplitude_std_sum,8;6
Sub-scanDensity_sum,0.04433115787206,Sub-scanDensity_sum,8;6
fixation_PupilSize_max_sum,0.0430665331578858,fixation_PupilSize_max_sum,8;6
Sub-scanAverageWeightedDegree_sum,0.0357841480431005,Sub-scanAverageWeightedDegree_sum,8;6
horizontal saccade_sum,0.0352958553148306,horizontal saccade_sum,8;6
non-horizontal saccade_sum,0.03005651785608,non-horizontal saccade_sum,8;6
horizontal saccade_std,0.0297958654501135,horizontal saccade_std,8;6
fixation_PupilSize_sum_sum,0.0291458288110753,fixation_PupilSize_sum_sum,8;6
fixation_PupilPeaksAmplitude_median_sum,0.0290307124547611,fixation_PupilPeaksAmplitude_median_sum,8;6
fixation_PupilSize_median_sum,0.0267868880521998,fixation_PupilSize_median_sum,8;6
fixation_PupilSize_min_sum,0.0264121351630808,fixation_PupilSize_min_sum,8;6
horizontal saccade_mean,0.0261034426395309,horizontal saccade_mean,8;6
fixation_PupilPeaksAmplitude_max_sum,0.0148149974315493,fixation_PupilPeaksAmplitude_max_sum,8;6
Fixation Count_sum,0.014009937574727,Fixation Count_sum,8;6
fixation_PupilPeaksAmplitude_sum_sum,0.010752688172043,fixation_PupilPeaksAmplitude_sum_sum,8;6
fixation_PupilSize_std_sum,0.3221878374416878,fixation_PupilSize_std_sum,9;6
fixation_PupilSize_mean_sum,0.0771324644074426,fixation_PupilSize_mean_sum,9;6
saccadic amplitude_sum,0.0707861889586997,saccadic amplitude_sum,9;6
fixation_PupilPeaksAmplitude_max_sum,0.0659185870978098,fixation_PupilPeaksAmplitude_max_sum,9;6
horizontal saccade_sum,0.0555151704707131,horizontal saccade_sum,9;6
fixation_PupilPeaksAmplitude_sum_sum,0.0539943851984582,fixation_PupilPeaksAmplitude_sum_sum,9;6
non-horizontal saccade_sum,0.0504635661287594,non-horizontal saccade_sum,9;6
Fixation Duration_sum,0.0448361126333144,Fixation Duration_sum,9;6
Sub-scanAverageWeightedDegree_sum,0.0381740179544881,Sub-scanAverageWeightedDegree_sum,9;6
fixation_PupilPeaksAmplitude_median_sum,0.0332579662769484,fixation_PupilPeaksAmplitude_median_sum,9;6
SpaceTimeCluster_countUniqueClusters,0.0325996299174646,SpaceTimeCluster_countUniqueClusters,9;6
fixation_PupilSize_min_sum,0.0244831007434501,fixation_PupilSize_min_sum,9;6
horizontal saccade_mean,0.0241603812860622,horizontal saccade_mean,9;6
horizontal saccade_std,0.0234272124101116,horizontal saccade_std,9;6
Sub-scanNtranstions_sum,0.0216651760691019,Sub-scanNtranstions_sum,9;6
fixation_PupilSize_max_sum,0.0213506684504207,fixation_PupilSize_max_sum,9;6
