,importance,feature,round
fixation_PupilPeaksAmplitude_sum_sum,0.0331478132057111,fixation_PupilPeaksAmplitude_sum_sum,4;41
fixation_PupilPeaksAmplitude_mean_sum,0.0224717891719398,fixation_PupilPeaksAmplitude_mean_sum,4;41
Sub-scanEntropy_sum,0.0199240815536875,Sub-scanEntropy_sum,4;41
Sub-scanDensity_sum,0.017211567328541,Sub-scanDensity_sum,4;41
fixation_PupilSize_mean_sum,0.0149683731819385,fixation_PupilSize_mean_sum,4;41
fixation_NumberOfPupilPeaks_sum,0.0141587463873009,fixation_NumberOfPupilPeaks_sum,4;41
fixation_PupilSize_sum_sum,0.0076306398825531,fixation_PupilSize_sum_sum,4;41
fixation_PupilSize_max_sum,0.3064166688538172,fixation_PupilSize_max_sum,5;41
fixation_PupilSize_min_sum,0.102387733124947,fixation_PupilSize_min_sum,5;41
fixation_PupilPeaksAmplitude_max_sum,0.0687126161730713,fixation_PupilPeaksAmplitude_max_sum,5;41
saccadic amplitude_sum,0.0651553262274709,saccadic amplitude_sum,5;41
Sub-scanNUniqueVisits_sum,0.0506359496094876,Sub-scanNUniqueVisits_sum,5;41
horizontal saccade_std,0.0500599620413033,horizontal saccade_std,5;41
Sub-scanDensity_sum,0.0449056757689301,Sub-scanDensity_sum,5;41
fixation_PupilPeaksAmplitude_median_sum,0.038115851873612,fixation_PupilPeaksAmplitude_median_sum,5;41
fixation_PupilSize_sum_sum,0.0370857214908064,fixation_PupilSize_sum_sum,5;41
fixation_NumberOfPupilPeaks_sum,0.0352703609665537,fixation_NumberOfPupilPeaks_sum,5;41
fixation_PupilPeaksAmplitude_mean_sum,0.0345408710017363,fixation_PupilPeaksAmplitude_mean_sum,5;41
Sub-scanAverageWeightedDegree_sum,0.0323136716821202,Sub-scanAverageWeightedDegree_sum,5;41
Sub-scanEntropy_sum,0.0323000644346322,Sub-scanEntropy_sum,5;41
fixation_PupilSize_median_sum,0.0283275522802487,fixation_PupilSize_median_sum,5;41
Fixation Count_sum,0.0163541727314606,Fixation Count_sum,5;41
Sub-scanNtranstions_sum,0.0142530153896947,Sub-scanNtranstions_sum,5;41
horizontal saccade_sum,0.014030342525042,horizontal saccade_sum,5;41
fixation_PupilPeaksAmplitude_sum_sum,0.0125950576496811,fixation_PupilPeaksAmplitude_sum_sum,5;41
Fixation Count 250_sum,0.0101114706565591,Fixation Count 250_sum,5;41
fixation_PupilSize_mean_sum,0.0064279155188246,fixation_PupilSize_mean_sum,5;41
fixation_PupilSize_max_sum,0.2620163965584037,fixation_PupilSize_max_sum,6;41
non-horizontal saccade_sum,0.1030191136962441,non-horizontal saccade_sum,6;41
Sub-scanNUniqueVisits_sum,0.0888878891336188,Sub-scanNUniqueVisits_sum,6;41
fixation_PupilSize_min_sum,0.088050937853871,fixation_PupilSize_min_sum,6;41
Fixation Duration_sum,0.0669683501646524,Fixation Duration_sum,6;41
fixation_PupilPeaksAmplitude_std_sum,0.0503967881728802,fixation_PupilPeaksAmplitude_std_sum,6;41
fixation_PupilPeaksAmplitude_sum_sum,0.0490290699228531,fixation_PupilPeaksAmplitude_sum_sum,6;41
fixation_PupilSize_std_sum,0.0374366868856694,fixation_PupilSize_std_sum,6;41
Sub-scanNtranstions_sum,0.0367536341685224,Sub-scanNtranstions_sum,6;41
Sub-scanAverageWeightedDegree_sum,0.0335324061909307,Sub-scanAverageWeightedDegree_sum,6;41
fixation_PupilSize_mean_sum,0.0332119316790649,fixation_PupilSize_mean_sum,6;41
fixation_NumberOfPupilPeaks_sum,0.0310423889772553,fixation_NumberOfPupilPeaks_sum,6;41
fixation_PupilPeaksAmplitude_median_sum,0.0264146447935202,fixation_PupilPeaksAmplitude_median_sum,6;41
fixation_PupilPeaksAmplitude_min_sum,0.0259351395450067,fixation_PupilPeaksAmplitude_min_sum,6;41
fixation_PupilPeaksAmplitude_max_sum,0.0219821326939299,fixation_PupilPeaksAmplitude_max_sum,6;41
Fixation Count_sum,0.0150281342013774,Fixation Count_sum,6;41
Sub-scanDensity_sum,0.0144914728357221,Sub-scanDensity_sum,6;41
fixation_PupilPeaksAmplitude_mean_sum,0.0081418187697746,fixation_PupilPeaksAmplitude_mean_sum,6;41
fixation_PupilSize_median_sum,0.0076610637567022,fixation_PupilSize_median_sum,6;41
fixation_PupilSize_sum_sum,0.0,fixation_PupilSize_sum_sum,6;41
fixation_PupilSize_max_sum,0.2656728375780001,fixation_PupilSize_max_sum,7;41
fixation_PupilPeaksAmplitude_std_sum,0.0918618861190035,fixation_PupilPeaksAmplitude_std_sum,7;41
fixation_PupilPeaksAmplitude_sum_sum,0.0688135538027001,fixation_PupilPeaksAmplitude_sum_sum,7;41
saccadic amplitude_sum,0.0636538601098846,saccadic amplitude_sum,7;41
non-horizontal saccade_sum,0.0603430999565379,non-horizontal saccade_sum,7;41
fixation_PupilSize_std_sum,0.0597335159917895,fixation_PupilSize_std_sum,7;41
Fixation Duration_sum,0.055774536630686,Fixation Duration_sum,7;41
Fixation Count 250_sum,0.0465268202212524,Fixation Count 250_sum,7;41
Sub-scanDensity_sum,0.0463373337582366,Sub-scanDensity_sum,7;41
Sub-scanAverageWeightedDegree_max,0.0443462325434078,Sub-scanAverageWeightedDegree_max,7;41
Sub-scanNUniqueVisits_sum,0.0363415768935249,Sub-scanNUniqueVisits_sum,7;41
SpaceTimeCluster_countUniqueClusters,0.0361131349324972,SpaceTimeCluster_countUniqueClusters,7;41
horizontal saccade_mean,0.0335753050732948,horizontal saccade_mean,7;41
Fixation Count_sum,0.0171113504100517,Fixation Count_sum,7;41
fixation_PupilSize_sum_sum,0.0170853754628993,fixation_PupilSize_sum_sum,7;41
fixation_PupilSize_min_sum,0.0168865821964995,fixation_PupilSize_min_sum,7;41
