,importance,feature,round
fixation_PupilPeaksAmplitude_min_sum,0.0765032463493731,fixation_PupilPeaksAmplitude_min_sum,4;12
saccadic amplitude_sum,0.0759890400603184,saccadic amplitude_sum,4;12
fixation_PupilSize_max_sum,0.0635270114852366,fixation_PupilSize_max_sum,4;12
fixation_NumberOfPupilPeaks_sum,0.0577004212912764,fixation_NumberOfPupilPeaks_sum,4;12
fixation_PupilPeaksAmplitude_std_sum,0.0555203897883049,fixation_PupilPeaksAmplitude_std_sum,4;12
fixation_PupilSize_min_sum,0.0523133966597472,fixation_PupilSize_min_sum,4;12
horizontal saccade_sum,0.0514025242773864,horizontal saccade_sum,4;12
Sub-scanNUniqueVisits_sum,0.0489476328480295,Sub-scanNUniqueVisits_sum,4;12
fixation_PupilSize_std_sum,0.0431186549513235,fixation_PupilSize_std_sum,4;12
fixation_PupilPeaksAmplitude_sum_sum,0.0376989734632795,fixation_PupilPeaksAmplitude_sum_sum,4;12
Sub-scanAverageWeightedDegree_sum,0.0341180633191328,Sub-scanAverageWeightedDegree_sum,4;12
fixation_PupilPeaksAmplitude_max_sum,0.0274103506178505,fixation_PupilPeaksAmplitude_max_sum,4;12
fixation_PupilSize_median_sum,0.0245750514197075,fixation_PupilSize_median_sum,4;12
fixation_PupilPeaksAmplitude_median_sum,0.021831338544211,fixation_PupilPeaksAmplitude_median_sum,4;12
non-horizontal saccade_sum,0.0204647115616089,non-horizontal saccade_sum,4;12
fixation_PupilPeaksAmplitude_mean_sum,0.0172833506867079,fixation_PupilPeaksAmplitude_mean_sum,4;12
fixation_PupilSize_sum_sum,0.0162955352378899,fixation_PupilSize_sum_sum,4;12
fixation_PupilSize_mean_sum,0.0124699249055121,fixation_PupilSize_mean_sum,4;12
Sub-scanDensity_sum,0.0072295500189979,Sub-scanDensity_sum,4;12
fixation_PupilPeaksAmplitude_min_sum,0.24066285295896,fixation_PupilPeaksAmplitude_min_sum,5;12
Fixation Duration 250_min,0.0998985390380638,Fixation Duration 250_min,5;12
fixation_PupilSize_max_sum,0.0635703130544002,fixation_PupilSize_max_sum,5;12
Sub-scanEntropy_sum,0.0586888285690422,Sub-scanEntropy_sum,5;12
saccadic amplitude_sum,0.0545203070098101,saccadic amplitude_sum,5;12
fixation_PupilSize_std_sum,0.0538685695354973,fixation_PupilSize_std_sum,5;12
fixation_PupilSize_min_sum,0.0488114411609166,fixation_PupilSize_min_sum,5;12
fixation_PupilPeaksAmplitude_sum_sum,0.0426807083191026,fixation_PupilPeaksAmplitude_sum_sum,5;12
horizontal saccade_sum,0.0415398110211633,horizontal saccade_sum,5;12
Fixation Duration_sum,0.0390458918237274,Fixation Duration_sum,5;12
Sub-scanDensity_sum,0.0352674946167258,Sub-scanDensity_sum,5;12
non-horizontal saccade_sum,0.0333876344668856,non-horizontal saccade_sum,5;12
Fixation Count_sum,0.0300853241652065,Fixation Count_sum,5;12
fixation_PupilSize_sum_sum,0.0296529986447062,fixation_PupilSize_sum_sum,5;12
fixation_NumberOfPupilPeaks_sum,0.0287653849054848,fixation_NumberOfPupilPeaks_sum,5;12
SpaceTimeCluster_countUniqueClusters,0.0281742767227002,SpaceTimeCluster_countUniqueClusters,5;12
Sub-scanNUniqueVisits_sum,0.0265207969549042,Sub-scanNUniqueVisits_sum,5;12
fixation_PupilSize_mean_sum,0.0215003183014745,fixation_PupilSize_mean_sum,5;12
Sub-scanAverageWeightedDegree_sum,0.0189855626360126,Sub-scanAverageWeightedDegree_sum,5;12
fixation_PupilSize_median_sum,0.0043729460952151,fixation_PupilSize_median_sum,5;12
fixation_PupilSize_std_sum,0.2562479179548971,fixation_PupilSize_std_sum,6;12
fixation_PupilPeaksAmplitude_sum_sum,0.1111169173231031,fixation_PupilPeaksAmplitude_sum_sum,6;12
fixation_PupilSize_min_sum,0.068543113927037,fixation_PupilSize_min_sum,6;12
Fixation Count 250_sum,0.0599408677691489,Fixation Count 250_sum,6;12
Sub-scanNUniqueVisits_sum,0.0562146877541049,Sub-scanNUniqueVisits_sum,6;12
fixation_NumberOfPupilPeaks_sum,0.0550021524123183,fixation_NumberOfPupilPeaks_sum,6;12
fixation_PupilPeaksAmplitude_min_sum,0.0514210803524788,fixation_PupilPeaksAmplitude_min_sum,6;12
horizontal saccade_sum,0.0488845373564629,horizontal saccade_sum,6;12
Sub-scanNUniqueVisits_min,0.045919947170244,Sub-scanNUniqueVisits_min,6;12
fixation_PupilSize_sum_sum,0.043724513220724,fixation_PupilSize_sum_sum,6;12
Fixation Count_sum,0.038129836307109,Fixation Count_sum,6;12
fixation_PupilSize_max_sum,0.0308032656052518,fixation_PupilSize_max_sum,6;12
fixation_PupilPeaksAmplitude_mean_sum,0.0299319868724183,fixation_PupilPeaksAmplitude_mean_sum,6;12
Sub-scanDensity_sum,0.0283316553730749,Sub-scanDensity_sum,6;12
fixation_PupilPeaksAmplitude_median_sum,0.0252498497962952,fixation_PupilPeaksAmplitude_median_sum,6;12
fixation_PupilPeaksAmplitude_max_sum,0.0214584321103566,fixation_PupilPeaksAmplitude_max_sum,6;12
fixation_PupilSize_median_sum,0.0131211975772146,fixation_PupilSize_median_sum,6;12
Sub-scanAverageWeightedDegree_sum,0.0109736931129443,Sub-scanAverageWeightedDegree_sum,6;12
fixation_PupilSize_mean_sum,0.0049843480048154,fixation_PupilSize_mean_sum,6;12
IsfixationInSpatialCluster_max,0.0,IsfixationInSpatialCluster_max,6;12
fixation_NumberOfPupilPeaks_sum,0.2127881070807125,fixation_NumberOfPupilPeaks_sum,7;12
fixation_PupilPeaksAmplitude_max_sum,0.0894154755136773,fixation_PupilPeaksAmplitude_max_sum,7;12
Sub-scanNUniqueVisits_sum,0.0628068760185553,Sub-scanNUniqueVisits_sum,7;12
fixation_PupilPeaksAmplitude_min_sum,0.0614953357559336,fixation_PupilPeaksAmplitude_min_sum,7;12
Sub-scanAverageWeightedDegree_std,0.0575488142514401,Sub-scanAverageWeightedDegree_std,7;12
fixation_PupilSize_min_sum,0.0552979975508252,fixation_PupilSize_min_sum,7;12
Sub-scanEntropy_sum,0.0531393938271558,Sub-scanEntropy_sum,7;12
Sub-scanDensity_sum,0.0511699041983432,Sub-scanDensity_sum,7;12
fixation_PupilSize_std_sum,0.0510815296806621,fixation_PupilSize_std_sum,7;12
Fixation Duration_sum,0.0481712509104,Fixation Duration_sum,7;12
Sub-scanAverageWeightedDegree_max,0.0408863215943657,Sub-scanAverageWeightedDegree_max,7;12
fixation_PupilSize_median_sum,0.0387034002284084,fixation_PupilSize_median_sum,7;12
fixation_PupilSize_max_sum,0.0348393876654746,fixation_PupilSize_max_sum,7;12
fixation_PupilPeaksAmplitude_median_sum,0.0311568560982697,fixation_PupilPeaksAmplitude_median_sum,7;12
fixation_PupilPeaksAmplitude_mean_sum,0.029440454082881,fixation_PupilPeaksAmplitude_mean_sum,7;12
Sub-scanAverageWeightedDegree_sum,0.028472116476324,Sub-scanAverageWeightedDegree_sum,7;12
fixation_PupilPeaksAmplitude_std_sum,0.0185884631147629,fixation_PupilPeaksAmplitude_std_sum,7;12
Fixation Count_sum,0.0149082045449262,Fixation Count_sum,7;12
non-horizontal saccade_sum,0.0122788129744651,non-horizontal saccade_sum,7;12
fixation_PupilPeaksAmplitude_sum_sum,0.0078112984324164,fixation_PupilPeaksAmplitude_sum_sum,7;12
fixation_PupilSize_max_sum,0.2283521661046949,fixation_PupilSize_max_sum,8;12
horizontal saccade_sum,0.0988957119048928,horizontal saccade_sum,8;12
saccadic amplitude_sum,0.0643106896844355,saccadic amplitude_sum,8;12
Fixation Duration_sum,0.0600591914983569,Fixation Duration_sum,8;12
fixation_PupilSize_min_sum,0.0563973156681034,fixation_PupilSize_min_sum,8;12
fixation_PupilPeaksAmplitude_min_sum,0.0543004095069847,fixation_PupilPeaksAmplitude_min_sum,8;12
horizontal saccade_mean,0.0525085624488863,horizontal saccade_mean,8;12
fixation_PupilSize_mean_sum,0.0457577333592554,fixation_PupilSize_mean_sum,8;12
Sub-scanNtranstions_sum,0.0443027871836906,Sub-scanNtranstions_sum,8;12
Sub-scanAverageWeightedDegree_sum,0.0384703801956689,Sub-scanAverageWeightedDegree_sum,8;12
fixation_PupilPeaksAmplitude_sum_sum,0.0373817924607863,fixation_PupilPeaksAmplitude_sum_sum,8;12
fixation_PupilPeaksAmplitude_max_sum,0.0370507860035712,fixation_PupilPeaksAmplitude_max_sum,8;12
fixation_PupilPeaksAmplitude_mean_sum,0.0355826124966192,fixation_PupilPeaksAmplitude_mean_sum,8;12
Sub-scanDensity_sum,0.0337015745074352,Sub-scanDensity_sum,8;12
fixation_PupilSize_median_sum,0.0335459643953845,fixation_PupilSize_median_sum,8;12
fixation_PupilSize_sum_sum,0.0280060273874305,fixation_PupilSize_sum_sum,8;12
Sub-scanNUniqueVisits_sum,0.0244941745242723,Sub-scanNUniqueVisits_sum,8;12
Fixation Count_sum,0.0230860068541227,Fixation Count_sum,8;12
fixation_NumberOfPupilPeaks_sum,0.0037961138154075,fixation_NumberOfPupilPeaks_sum,8;12
Fixation Count 250_sum,0.0,Fixation Count 250_sum,8;12
fixation_PupilSize_std_sum,0.2651821015741761,fixation_PupilSize_std_sum,9;12
fixation_NumberOfPupilPeaks_sum,0.0653891743950168,fixation_NumberOfPupilPeaks_sum,9;12
fixation_PupilSize_max_sum,0.0620292590853445,fixation_PupilSize_max_sum,9;12
fixation_PupilPeaksAmplitude_max_sum,0.0521752920177316,fixation_PupilPeaksAmplitude_max_sum,9;12
fixation_PupilPeaksAmplitude_mean_sum,0.0509394052317148,fixation_PupilPeaksAmplitude_mean_sum,9;12
fixation_PupilSize_min_sum,0.0503360025239043,fixation_PupilSize_min_sum,9;12
fixation_PupilSize_median_sum,0.0477976197345882,fixation_PupilSize_median_sum,9;12
saccadic amplitude_sum,0.0450268736321744,saccadic amplitude_sum,9;12
non-horizontal saccade_std,0.0424642828722666,non-horizontal saccade_std,9;12
Fixation Count_sum,0.0414074309111997,Fixation Count_sum,9;12
Fixation Duration_sum,0.0403721186134,Fixation Duration_sum,9;12
Fixation Duration 250_sum,0.0395786218565535,Fixation Duration 250_sum,9;12
Sub-scanAverageWeightedDegree_sum,0.0394257074098791,Sub-scanAverageWeightedDegree_sum,9;12
Sub-scanDensity_sum,0.0354106375315936,Sub-scanDensity_sum,9;12
Fixation Count 250_sum,0.0313629272975052,Fixation Count 250_sum,9;12
horizontal saccade_sum,0.0303108188577153,horizontal saccade_sum,9;12
fixation_PupilPeaksAmplitude_sum_sum,0.0289473643937948,fixation_PupilPeaksAmplitude_sum_sum,9;12
horizontal saccade_std,0.0235290699250595,horizontal saccade_std,9;12
non-horizontal saccade_sum,0.0083152921363812,non-horizontal saccade_sum,9;12
horizontal saccade_mean,0.0,horizontal saccade_mean,9;12
Sub-scanAverageWeightedDegree_sum,0.2541535574401819,Sub-scanAverageWeightedDegree_sum,0;13
fixation_PupilSize_min_sum,0.0797025767761317,fixation_PupilSize_min_sum,0;13
fixation_PupilPeaksAmplitude_std_sum,0.0763035865418709,fixation_PupilPeaksAmplitude_std_sum,0;13
Sub-scanAverageWeightedDegree_max,0.0737780426712636,Sub-scanAverageWeightedDegree_max,0;13
Fixation Duration_sum,0.0732736231578851,Fixation Duration_sum,0;13
fixation_PupilSize_max_sum,0.0481231364109914,fixation_PupilSize_max_sum,0;13
fixation_PupilSize_std_sum,0.0377490979683552,fixation_PupilSize_std_sum,0;13
fixation_NumberOfPupilPeaks_sum,0.0375591897011462,fixation_NumberOfPupilPeaks_sum,0;13
horizontal saccade_mean,0.0326094801186951,horizontal saccade_mean,0;13
fixation_PupilPeaksAmplitude_max_sum,0.0324492982771908,fixation_PupilPeaksAmplitude_max_sum,0;13
Sub-scanDensity_min,0.0320307157234073,Sub-scanDensity_min,0;13
saccadic amplitude_sum,0.0318963732125567,saccadic amplitude_sum,0;13
fixation_PupilPeaksAmplitude_sum_sum,0.0287364197401653,fixation_PupilPeaksAmplitude_sum_sum,0;13
fixation_PupilPeaksAmplitude_mean_sum,0.0272228086685621,fixation_PupilPeaksAmplitude_mean_sum,0;13
Fixation Count_sum,0.0270685577914632,Fixation Count_sum,0;13
Sub-scanDensity_sum,0.0270481238238169,Sub-scanDensity_sum,0;13
fixation_PupilSize_mean_sum,0.0237140867467799,fixation_PupilSize_mean_sum,0;13
fixation_PupilSize_sum_sum,0.0228325480800776,fixation_PupilSize_sum_sum,0;13
fixation_PupilSize_median_sum,0.017797295101021,fixation_PupilSize_median_sum,0;13
non-horizontal saccade_sum,0.0159514820484371,non-horizontal saccade_sum,0;13
fixation_PupilSize_std_sum,0.2559668686388243,fixation_PupilSize_std_sum,1;13
saccadic amplitude_sum,0.1116548660675764,saccadic amplitude_sum,1;13
fixation_PupilSize_min_sum,0.0751433827644909,fixation_PupilSize_min_sum,1;13
Fixation Duration_sum,0.069233729014255,Fixation Duration_sum,1;13
fixation_PupilSize_mean_sum,0.0626775152536836,fixation_PupilSize_mean_sum,1;13
fixation_PupilPeaksAmplitude_min_sum,0.0575099785004545,fixation_PupilPeaksAmplitude_min_sum,1;13
Sub-scanEntropy_sum,0.0557314017668167,Sub-scanEntropy_sum,1;13
horizontal saccade_sum,0.0407925797550422,horizontal saccade_sum,1;13
fixation_PupilSize_sum_sum,0.0396255286313189,fixation_PupilSize_sum_sum,1;13
horizontal saccade_mean,0.0284581816878365,horizontal saccade_mean,1;13
fixation_PupilPeaksAmplitude_sum_sum,0.0277442345910255,fixation_PupilPeaksAmplitude_sum_sum,1;13
fixation_PupilPeaksAmplitude_mean_sum,0.0274164977831477,fixation_PupilPeaksAmplitude_mean_sum,1;13
fixation_PupilSize_max_sum,0.0272415214485548,fixation_PupilSize_max_sum,1;13
Sub-scanNUniqueVisits_sum,0.0268603923454737,Sub-scanNUniqueVisits_sum,1;13
fixation_PupilSize_median_sum,0.0210706476402106,fixation_PupilSize_median_sum,1;13
fixation_NumberOfPupilPeaks_sum,0.0190456682490197,fixation_NumberOfPupilPeaks_sum,1;13
non-horizontal saccade_sum,0.0170733894912757,non-horizontal saccade_sum,1;13
fixation_PupilPeaksAmplitude_max_sum,0.0166658526424211,fixation_PupilPeaksAmplitude_max_sum,1;13
Fixation Count_sum,0.0148896470102313,Fixation Count_sum,1;13
fixation_PupilPeaksAmplitude_median_sum,0.00519811671834,fixation_PupilPeaksAmplitude_median_sum,1;13
fixation_PupilSize_std_sum,0.2768140627492652,fixation_PupilSize_std_sum,2;13
Sub-scanNUniqueVisits_mean,0.0704952046158776,Sub-scanNUniqueVisits_mean,2;13
Sub-scanDensity_sum,0.070123064445533,Sub-scanDensity_sum,2;13
Fixation Duration_sum,0.0608123714678937,Fixation Duration_sum,2;13
horizontal saccade_mean,0.0529586834625612,horizontal saccade_mean,2;13
fixation_NumberOfPupilPeaks_sum,0.0522420759499046,fixation_NumberOfPupilPeaks_sum,2;13
fixation_PupilPeaksAmplitude_min_sum,0.0482525878851074,fixation_PupilPeaksAmplitude_min_sum,2;13
fixation_PupilSize_max_sum,0.0478717049769634,fixation_PupilSize_max_sum,2;13
saccadic amplitude_sum,0.0442980602722917,saccadic amplitude_sum,2;13
Sub-scanNUniqueVisits_sum,0.042257112543562,Sub-scanNUniqueVisits_sum,2;13
fixation_PupilSize_sum_sum,0.0344023161386924,fixation_PupilSize_sum_sum,2;13
Fixation Count_sum,0.0333574608714273,Fixation Count_sum,2;13
horizontal saccade_sum,0.0307421502276292,horizontal saccade_sum,2;13
fixation_PupilPeaksAmplitude_mean_sum,0.0267053146302451,fixation_PupilPeaksAmplitude_mean_sum,2;13
fixation_PupilPeaksAmplitude_sum_sum,0.0254275439876722,fixation_PupilPeaksAmplitude_sum_sum,2;13
fixation_PupilSize_min_sum,0.0240286306436636,fixation_PupilSize_min_sum,2;13
fixation_PupilSize_median_sum,0.0196688163813161,fixation_PupilSize_median_sum,2;13
fixation_PupilPeaksAmplitude_max_sum,0.0188729288371172,fixation_PupilPeaksAmplitude_max_sum,2;13
non-horizontal saccade_sum,0.0137347636307456,non-horizontal saccade_sum,2;13
fixation_PupilSize_mean_sum,0.0069351462825307,fixation_PupilSize_mean_sum,2;13
fixation_PupilPeaksAmplitude_mean_sum,0.2570011478136203,fixation_PupilPeaksAmplitude_mean_sum,3;13
Fixation Duration_sum,0.0953816648200848,Fixation Duration_sum,3;13
fixation_PupilSize_min_sum,0.0931527522031248,fixation_PupilSize_min_sum,3;13
fixation_PupilSize_std_sum,0.0736338504340634,fixation_PupilSize_std_sum,3;13
horizontal saccade_std,0.0648921455586223,horizontal saccade_std,3;13
saccadic amplitude_sum,0.0611916648751143,saccadic amplitude_sum,3;13
fixation_PupilPeaksAmplitude_max_sum,0.0369706984633239,fixation_PupilPeaksAmplitude_max_sum,3;13
fixation_PupilPeaksAmplitude_median_sum,0.0359944377273992,fixation_PupilPeaksAmplitude_median_sum,3;13
fixation_PupilSize_max_sum,0.0359860113062706,fixation_PupilSize_max_sum,3;13
fixation_PupilSize_median_sum,0.0343252365044216,fixation_PupilSize_median_sum,3;13
non-horizontal saccade_sum,0.0320885711255752,non-horizontal saccade_sum,3;13
Sub-scanAverageWeightedDegree_sum,0.0320130264319587,Sub-scanAverageWeightedDegree_sum,3;13
fixation_NumberOfPupilPeaks_sum,0.027489926497269,fixation_NumberOfPupilPeaks_sum,3;13
Fixation Count_sum,0.0238077574590005,Fixation Count_sum,3;13
fixation_PupilSize_sum_sum,0.0223828380071664,fixation_PupilSize_sum_sum,3;13
fixation_PupilPeaksAmplitude_min_sum,0.0217748581384944,fixation_PupilPeaksAmplitude_min_sum,3;13
Sub-scanDensity_sum,0.0217446483262538,Sub-scanDensity_sum,3;13
fixation_PupilSize_mean_sum,0.0181022666648152,fixation_PupilSize_mean_sum,3;13
fixation_PupilPeaksAmplitude_sum_sum,0.0103500110784493,fixation_PupilPeaksAmplitude_sum_sum,3;13
horizontal saccade_sum,0.0017164865649714,horizontal saccade_sum,3;13
fixation_PupilSize_max_sum,0.2866058957923685,fixation_PupilSize_max_sum,4;13
saccadic amplitude_sum,0.0684566466085175,saccadic amplitude_sum,4;13
fixation_PupilPeaksAmplitude_std_sum,0.0665907896100367,fixation_PupilPeaksAmplitude_std_sum,4;13
fixation_PupilPeaksAmplitude_sum_sum,0.0604788272536318,fixation_PupilPeaksAmplitude_sum_sum,4;13
horizontal saccade_std,0.0541677298069685,horizontal saccade_std,4;13
Sub-scanNUniqueVisits_sum,0.0540978345988413,Sub-scanNUniqueVisits_sum,4;13
Sub-scanDensity_sum,0.0527635274884019,Sub-scanDensity_sum,4;13
fixation_PupilSize_min_sum,0.0521774275713695,fixation_PupilSize_min_sum,4;13
fixation_PupilSize_std_sum,0.0379303175754742,fixation_PupilSize_std_sum,4;13
fixation_PupilPeaksAmplitude_max_sum,0.0377339228961705,fixation_PupilPeaksAmplitude_max_sum,4;13
Fixation Count_sum,0.0371327283168625,Fixation Count_sum,4;13
horizontal saccade_sum,0.0370659688062773,horizontal saccade_sum,4;13
Sub-scanNtranstions_sum,0.0353090946955287,Sub-scanNtranstions_sum,4;13
fixation_PupilPeaksAmplitude_min_sum,0.0291658755233192,fixation_PupilPeaksAmplitude_min_sum,4;13
fixation_PupilSize_median_sum,0.0282042805198353,fixation_PupilSize_median_sum,4;13
Sub-scanEntropy_sum,0.0208386709083244,Sub-scanEntropy_sum,4;13
non-horizontal saccade_sum,0.0117600759311989,non-horizontal saccade_sum,4;13
