,importance,feature,round
fixation_PupilPeaksAmplitude_max_sum,0.0305520234763767,fixation_PupilPeaksAmplitude_max_sum,4;65
fixation_PupilPeaksAmplitude_sum_sum,0.0253079597721603,fixation_PupilPeaksAmplitude_sum_sum,4;65
fixation_PupilSize_mean_sum,0.0219758360598115,fixation_PupilSize_mean_sum,4;65
Fixation Count 250_sum,0.0218369358166499,Fixation Count 250_sum,4;65
Sub-scanNUniqueVisits_sum,0.0210612232599474,Sub-scanNUniqueVisits_sum,4;65
fixation_PupilSize_median_sum,0.0162266131329501,fixation_PupilSize_median_sum,4;65
Sub-scanNtranstions_min,0.0089336550938799,Sub-scanNtranstions_min,4;65
Fixation Count_sum,0.2418221726800778,Fixation Count_sum,5;65
fixation_PupilSize_std_sum,0.1086432655998169,fixation_PupilSize_std_sum,5;65
non-horizontal saccade_mean,0.0749326128332694,non-horizontal saccade_mean,5;65
fixation_PupilPeaksAmplitude_std_sum,0.0716488074959732,fixation_PupilPeaksAmplitude_std_sum,5;65
fixation_PupilPeaksAmplitude_median_sum,0.066619946978869,fixation_PupilPeaksAmplitude_median_sum,5;65
fixation_PupilSize_max_sum,0.0506772018396034,fixation_PupilSize_max_sum,5;65
fixation_PupilPeaksAmplitude_sum_sum,0.0459964931555286,fixation_PupilPeaksAmplitude_sum_sum,5;65
Fixation Count 250_sum,0.0454460344211615,Fixation Count 250_sum,5;65
Sub-scanAverageWeightedDegree_sum,0.0357552993535671,Sub-scanAverageWeightedDegree_sum,5;65
fixation_PupilSize_median_sum,0.0346980189944374,fixation_PupilSize_median_sum,5;65
fixation_PupilSize_sum_sum,0.0328807247958178,fixation_PupilSize_sum_sum,5;65
fixation_NumberOfPupilPeaks_sum,0.0324607379291504,fixation_NumberOfPupilPeaks_sum,5;65
fixation_PupilPeaksAmplitude_mean_sum,0.0275697005378666,fixation_PupilPeaksAmplitude_mean_sum,5;65
horizontal saccade_std,0.0253034121157111,horizontal saccade_std,5;65
fixation_PupilSize_mean_sum,0.0235638932651045,fixation_PupilSize_mean_sum,5;65
non-horizontal saccade_sum,0.0231038630777221,non-horizontal saccade_sum,5;65
fixation_PupilSize_min_sum,0.022581929548064,fixation_PupilSize_min_sum,5;65
horizontal saccade_sum,0.0203063126173961,horizontal saccade_sum,5;65
Sub-scanDensity_sum,0.0098034611618472,Sub-scanDensity_sum,5;65
fixation_PupilPeaksAmplitude_max_sum,0.0061861115990151,fixation_PupilPeaksAmplitude_max_sum,5;65
fixation_PupilPeaksAmplitude_mean_sum,0.2601753295761816,fixation_PupilPeaksAmplitude_mean_sum,6;65
fixation_PupilSize_min_sum,0.0871621850406508,fixation_PupilSize_min_sum,6;65
Sub-scanEntropy_mean,0.0699379586580211,Sub-scanEntropy_mean,6;65
fixation_PupilSize_max_sum,0.0575544399164357,fixation_PupilSize_max_sum,6;65
fixation_PupilPeaksAmplitude_max_sum,0.0567419974902446,fixation_PupilPeaksAmplitude_max_sum,6;65
horizontal saccade_std,0.0550730129462305,horizontal saccade_std,6;65
Fixation Duration_sum,0.0507519130713553,Fixation Duration_sum,6;65
fixation_PupilSize_std_sum,0.0483059377476684,fixation_PupilSize_std_sum,6;65
Fixation Count_sum,0.040784301225436,Fixation Count_sum,6;65
fixation_NumberOfPupilPeaks_mean,0.0319828784926095,fixation_NumberOfPupilPeaks_mean,6;65
saccadic amplitude_sum,0.0301365072412029,saccadic amplitude_sum,6;65
fixation_PupilPeaksAmplitude_sum_sum,0.0292055312085454,fixation_PupilPeaksAmplitude_sum_sum,6;65
non-horizontal saccade_sum,0.0279974571818666,non-horizontal saccade_sum,6;65
SpaceTimeCluster_countUniqueClusters,0.0273963755390274,SpaceTimeCluster_countUniqueClusters,6;65
Sub-scanDensity_sum,0.026663981164443,Sub-scanDensity_sum,6;65
fixation_PupilPeaksAmplitude_std_sum,0.0237782033384639,fixation_PupilPeaksAmplitude_std_sum,6;65
Fixation Count 250_sum,0.0229520173248394,Fixation Count 250_sum,6;65
horizontal saccade_sum,0.0182070105498565,horizontal saccade_sum,6;65
Sub-scanAverageWeightedDegree_sum,0.018151930517941,Sub-scanAverageWeightedDegree_sum,6;65
Sub-scanNUniqueVisits_min,0.0170410317689795,Sub-scanNUniqueVisits_min,6;65
Fixation Count_sum,0.2370207313495862,Fixation Count_sum,7;65
fixation_PupilSize_max_sum,0.1053725257766374,fixation_PupilSize_max_sum,7;65
fixation_PupilPeaksAmplitude_mean_sum,0.0694608088253118,fixation_PupilPeaksAmplitude_mean_sum,7;65
Fixation Duration_sum,0.0589580159771786,Fixation Duration_sum,7;65
Sub-scanNUniqueVisits_sum,0.0563241485143849,Sub-scanNUniqueVisits_sum,7;65
fixation_PupilSize_std_sum,0.0551342461825418,fixation_PupilSize_std_sum,7;65
fixation_PupilPeaksAmplitude_std_sum,0.054399575804258,fixation_PupilPeaksAmplitude_std_sum,7;65
saccadic amplitude_sum,0.0528966582212164,saccadic amplitude_sum,7;65
fixation_PupilSize_min_sum,0.0453324059857878,fixation_PupilSize_min_sum,7;65
fixation_NumberOfPupilPeaks_sum,0.0428755694965755,fixation_NumberOfPupilPeaks_sum,7;65
fixation_PupilPeaksAmplitude_sum_sum,0.035511648660402,fixation_PupilPeaksAmplitude_sum_sum,7;65
non-horizontal saccade_sum,0.0338857775605017,non-horizontal saccade_sum,7;65
horizontal saccade_sum,0.030041027872487,horizontal saccade_sum,7;65
Sub-scanDensity_sum,0.0290838839008177,Sub-scanDensity_sum,7;65
horizontal saccade_std,0.0278706404416697,horizontal saccade_std,7;65
fixation_PupilSize_mean_sum,0.0230264828626916,fixation_PupilSize_mean_sum,7;65
Sub-scanAverageWeightedDegree_sum,0.0196147065187001,Sub-scanAverageWeightedDegree_sum,7;65
fixation_PupilPeaksAmplitude_max_sum,0.0146419418856242,fixation_PupilPeaksAmplitude_max_sum,7;65
fixation_PupilSize_sum_sum,0.0085492041636268,fixation_PupilSize_sum_sum,7;65
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,7;65
fixation_PupilSize_std_sum,0.2692033851830237,fixation_PupilSize_std_sum,8;65
fixation_PupilPeaksAmplitude_sum_sum,0.0718781202553635,fixation_PupilPeaksAmplitude_sum_sum,8;65
fixation_PupilSize_min_sum,0.0673232426861986,fixation_PupilSize_min_sum,8;65
fixation_PupilPeaksAmplitude_min_sum,0.065350890688449,fixation_PupilPeaksAmplitude_min_sum,8;65
fixation_PupilPeaksAmplitude_max_sum,0.0589457477577985,fixation_PupilPeaksAmplitude_max_sum,8;65
saccadic amplitude_sum,0.0477939769089615,saccadic amplitude_sum,8;65
fixation_PupilPeaksAmplitude_std_sum,0.0426182513702362,fixation_PupilPeaksAmplitude_std_sum,8;65
fixation_PupilSize_mean_sum,0.040798816270943,fixation_PupilSize_mean_sum,8;65
Sub-scanAverageWeightedDegree_sum,0.039357756088082,Sub-scanAverageWeightedDegree_sum,8;65
Fixation Duration_sum,0.0393222537008946,Fixation Duration_sum,8;65
fixation_PupilSize_sum_sum,0.0356198543385537,fixation_PupilSize_sum_sum,8;65
fixation_NumberOfPupilPeaks_sum,0.0349113670817303,fixation_NumberOfPupilPeaks_sum,8;65
non-horizontal saccade_sum,0.0346560043592803,non-horizontal saccade_sum,8;65
horizontal saccade_sum,0.0320840425510537,horizontal saccade_sum,8;65
Sub-scanNUniqueVisits_sum,0.0306038563135132,Sub-scanNUniqueVisits_sum,8;65
fixation_PupilSize_max_sum,0.0200693944485231,fixation_PupilSize_max_sum,8;65
no saccade_mean,0.0198942393905104,no saccade_mean,8;65
Fixation Count_sum,0.0184805219844338,Fixation Count_sum,8;65
Sub-scanDensity_sum,0.0179229200280069,Sub-scanDensity_sum,8;65
fixation_PupilSize_median_sum,0.0131653585944431,fixation_PupilSize_median_sum,8;65
horizontal saccade_sum,0.2903631140993308,horizontal saccade_sum,9;65
