,importance,feature,round
Fixation Count_sum,0.0,Fixation Count_sum,4;77
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,4;77
horizontal saccade_sum,0.6008744499735845,horizontal saccade_sum,5;77
non-horizontal saccade_sum,0.0540651495292748,non-horizontal saccade_sum,5;77
saccadic amplitude_sum,0.0531873876639873,saccadic amplitude_sum,5;77
fixation_NumberOfPupilPeaks_sum,0.0365285059783215,fixation_NumberOfPupilPeaks_sum,5;77
Sub-scanDensity_sum,0.0359216796414248,Sub-scanDensity_sum,5;77
Fixation Duration 250_sum,0.034762915782024,Fixation Duration 250_sum,5;77
fixation_PupilPeaksAmplitude_median_sum,0.0282675011795234,fixation_PupilPeaksAmplitude_median_sum,5;77
Fixation Count_sum,0.0282448690728945,Fixation Count_sum,5;77
fixation_PupilSize_std_sum,0.0237851529034901,fixation_PupilSize_std_sum,5;77
Fixation Duration 250_min,0.0230995169932913,Fixation Duration 250_min,5;77
Fixation Duration_sum,0.0172573314006188,Fixation Duration_sum,5;77
fixation_PupilSize_sum_sum,0.0134817718257208,fixation_PupilSize_sum_sum,5;77
fixation_PupilPeaksAmplitude_mean_sum,0.0118251935942117,fixation_PupilPeaksAmplitude_mean_sum,5;77
fixation_PupilSize_min_sum,0.0117324840764331,fixation_PupilSize_min_sum,5;77
fixation_PupilPeaksAmplitude_sum_sum,0.0099322616520068,fixation_PupilPeaksAmplitude_sum_sum,5;77
fixation_PupilSize_median_sum,0.008690728945506,fixation_PupilSize_median_sum,5;77
Fixation Count 250_sum,0.0083430997876857,Fixation Count 250_sum,5;77
fixation_PupilPeaksAmplitude_max_sum,0.0,fixation_PupilPeaksAmplitude_max_sum,5;77
fixation_PupilPeaksAmplitude_min_sum,0.0,fixation_PupilPeaksAmplitude_min_sum,5;77
fixation_PupilSize_mean_sum,0.0,fixation_PupilSize_mean_sum,5;77
horizontal saccade_sum,0.5859327220505519,horizontal saccade_sum,6;77
Fixation Duration_sum,0.079877072652892,Fixation Duration_sum,6;77
fixation_PupilSize_min_sum,0.0405555499213877,fixation_PupilSize_min_sum,6;77
Sub-scanNUniqueVisits_sum,0.0404087425855077,Sub-scanNUniqueVisits_sum,6;77
fixation_PupilSize_std_sum,0.0301196839886749,fixation_PupilSize_std_sum,6;77
fixation_PupilPeaksAmplitude_std_sum,0.0282109690663695,fixation_PupilPeaksAmplitude_std_sum,6;77
saccadic amplitude_sum,0.0274182152124827,saccadic amplitude_sum,6;77
non-horizontal saccade_sum,0.0219009488109387,non-horizontal saccade_sum,6;77
fixation_PupilPeaksAmplitude_sum_sum,0.0218820139520776,fixation_PupilPeaksAmplitude_sum_sum,6;77
fixation_PupilSize_median_sum,0.0217324656942491,fixation_PupilSize_median_sum,6;77
Sub-scanAverageWeightedDegree_sum,0.0186653155761436,Sub-scanAverageWeightedDegree_sum,6;77
Fixation Count 250_sum,0.0164764458917995,Fixation Count 250_sum,6;77
Fixation Count_sum,0.0152087756546355,Fixation Count_sum,6;77
Fixation Duration 250_sum,0.0141224345364472,Fixation Duration 250_sum,6;77
fixation_PupilSize_sum_sum,0.0118509940165991,fixation_PupilSize_sum_sum,6;77
fixation_PupilPeaksAmplitude_median_sum,0.0104288747346072,fixation_PupilPeaksAmplitude_median_sum,6;77
Sub-scanDensity_sum,0.008690728945506,Sub-scanDensity_sum,6;77
fixation_PupilSize_mean_sum,0.0065180467091295,fixation_PupilSize_mean_sum,6;77
