,importance,feature,round
fixation_NumberOfPupilPeaks_sum,0.0063903634136382,fixation_NumberOfPupilPeaks_sum,2;1
Sub-scanAverageWeightedDegree_sum,0.0053253028446985,Sub-scanAverageWeightedDegree_sum,2;1
saccadic amplitude_sum,0.0027184659888734,saccadic amplitude_sum,2;1
fixation_PupilSize_std_sum,0.0010340769887523,fixation_PupilSize_std_sum,2;1
Fixation Duration 250_sum,0.0,Fixation Duration 250_sum,2;1
fixation_PupilPeaksAmplitude_max_sum,0.0,fixation_PupilPeaksAmplitude_max_sum,2;1
fixation_PupilSize_sum_sum,0.0,fixation_PupilSize_sum_sum,2;1
fixation_PupilPeaksAmplitude_sum_sum,0.0,fixation_PupilPeaksAmplitude_sum_sum,2;1
Fixation Count 250_sum,0.0,Fixation Count 250_sum,2;1
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,2;1
horizontal saccade_sum,0.5900170962623986,horizontal saccade_sum,3;1
Fixation Duration_sum,0.0915948146077067,Fixation Duration_sum,3;1
saccadic amplitude_sum,0.0672498856320822,saccadic amplitude_sum,3;1
fixation_NumberOfPupilPeaks_sum,0.0489882565492321,fixation_NumberOfPupilPeaks_sum,3;1
fixation_PupilPeaksAmplitude_median_sum,0.0465016609843517,fixation_PupilPeaksAmplitude_median_sum,3;1
Sub-scanNUniqueVisits_sum,0.0341513180416093,Sub-scanNUniqueVisits_sum,3;1
Sub-scanDensity_sum,0.0269726794972664,Sub-scanDensity_sum,3;1
Sub-scanNtranstions_sum,0.0227346569970047,Sub-scanNtranstions_sum,3;1
fixation_PupilSize_std_sum,0.0221180881790026,fixation_PupilSize_std_sum,3;1
fixation_PupilSize_min_sum,0.0164859501030911,fixation_PupilSize_min_sum,3;1
fixation_PupilPeaksAmplitude_sum_sum,0.0150590086546026,fixation_PupilPeaksAmplitude_sum_sum,3;1
fixation_PupilPeaksAmplitude_max_sum,0.0118519975522335,fixation_PupilPeaksAmplitude_max_sum,3;1
fixation_PupilPeaksAmplitude_mean_sum,0.0062745869394177,fixation_PupilPeaksAmplitude_mean_sum,3;1
fixation_PupilSize_median_sum,0.0,fixation_PupilSize_median_sum,3;1
fixation_PupilSize_max_sum,0.0,fixation_PupilSize_max_sum,3;1
Fixation Duration 250_sum,0.0,Fixation Duration 250_sum,3;1
SpaceTimeCluster_countUniqueClusters,0.0,SpaceTimeCluster_countUniqueClusters,3;1
Fixation Count 250_sum,0.0,Fixation Count 250_sum,3;1
Fixation Count_sum,0.0,Fixation Count_sum,3;1
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,3;1
horizontal saccade_sum,0.6687568770036681,horizontal saccade_sum,4;1
Fixation Duration_sum,0.0678035953751932,Fixation Duration_sum,4;1
fixation_PupilSize_std_sum,0.0489314499100269,fixation_PupilSize_std_sum,4;1
fixation_NumberOfPupilPeaks_sum,0.0419982635410405,fixation_NumberOfPupilPeaks_sum,4;1
Sub-scanNUniqueVisits_sum,0.0380873859990381,Sub-scanNUniqueVisits_sum,4;1
non-horizontal saccade_sum,0.033840461072183,non-horizontal saccade_sum,4;1
fixation_PupilSize_mean_sum,0.0189941895411741,fixation_PupilSize_mean_sum,4;1
Fixation Duration 250_sum,0.0147833378394194,Fixation Duration 250_sum,4;1
Sub-scanNtranstions_sum,0.0129960244229086,Sub-scanNtranstions_sum,4;1
fixation_PupilPeaksAmplitude_median_sum,0.0112683363981752,fixation_PupilPeaksAmplitude_median_sum,4;1
fixation_PupilPeaksAmplitude_mean_sum,0.0105523275228745,fixation_PupilPeaksAmplitude_mean_sum,4;1
fixation_PupilPeaksAmplitude_sum_sum,0.010341280972417,fixation_PupilPeaksAmplitude_sum_sum,4;1
fixation_PupilPeaksAmplitude_max_sum,0.009593025020795,fixation_PupilPeaksAmplitude_max_sum,4;1
Fixation Count 250_sum,0.009497094770587,Fixation Count 250_sum,4;1
saccadic amplitude_sum,0.0020260468843919,saccadic amplitude_sum,4;1
fixation_PupilSize_median_sum,0.0005303037261071,fixation_PupilSize_median_sum,4;1
fixation_PupilPeaksAmplitude_min_sum,0.0,fixation_PupilPeaksAmplitude_min_sum,4;1
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,4;1
Fixation Count_sum,0.0,Fixation Count_sum,4;1
Sub-scanDensity_sum,0.0,Sub-scanDensity_sum,4;1
horizontal saccade_sum,0.6350276370644676,horizontal saccade_sum,5;1
Fixation Duration_sum,0.106744617693084,Fixation Duration_sum,5;1
fixation_NumberOfPupilPeaks_sum,0.0639439330611231,fixation_NumberOfPupilPeaks_sum,5;1
fixation_PupilPeaksAmplitude_min_sum,0.0384824856520878,fixation_PupilPeaksAmplitude_min_sum,5;1
Sub-scanNUniqueVisits_sum,0.0317269411767729,Sub-scanNUniqueVisits_sum,5;1
fixation_PupilSize_min_sum,0.029574662050419,fixation_PupilSize_min_sum,5;1
fixation_PupilSize_median_sum,0.0294449741827537,fixation_PupilSize_median_sum,5;1
Sub-scanDensity_sum,0.014156908201634,Sub-scanDensity_sum,5;1
Fixation Count_sum,0.0117999208391054,Fixation Count_sum,5;1
fixation_PupilSize_mean_sum,0.0116544307757129,fixation_PupilSize_mean_sum,5;1
Fixation Duration 250_sum,0.0095192638702027,Fixation Duration 250_sum,5;1
Fixation Count 250_sum,0.0088630516524836,Fixation Count 250_sum,5;1
fixation_PupilPeaksAmplitude_mean_sum,0.0083910548189194,fixation_PupilPeaksAmplitude_mean_sum,5;1
fixation_PupilSize_std_sum,0.0006701189612331,fixation_PupilSize_std_sum,5;1
fixation_PupilSize_sum_sum,0.0,fixation_PupilSize_sum_sum,5;1
fixation_PupilPeaksAmplitude_median_sum,0.0,fixation_PupilPeaksAmplitude_median_sum,5;1
fixation_PupilPeaksAmplitude_max_sum,0.0,fixation_PupilPeaksAmplitude_max_sum,5;1
SpaceTimeCluster_countUniqueClusters,0.0,SpaceTimeCluster_countUniqueClusters,5;1
saccadic amplitude_sum,0.0,saccadic amplitude_sum,5;1
Sub-scanAverageWeightedDegree_sum,0.0,Sub-scanAverageWeightedDegree_sum,5;1
horizontal saccade_sum,0.583447095990619,horizontal saccade_sum,6;1
Fixation Duration_sum,0.067171235997616,Fixation Duration_sum,6;1
Sub-scanNUniqueVisits_sum,0.0551214235594675,Sub-scanNUniqueVisits_sum,6;1
Fixation Duration 250_sum,0.0404739384565942,Fixation Duration 250_sum,6;1
saccadic amplitude_sum,0.0372828917062368,saccadic amplitude_sum,6;1
Sub-scanAverageWeightedDegree_sum,0.0333107254348149,Sub-scanAverageWeightedDegree_sum,6;1
fixation_PupilSize_std_sum,0.0303703397413473,fixation_PupilSize_std_sum,6;1
fixation_PupilPeaksAmplitude_max_sum,0.029636685319289,fixation_PupilPeaksAmplitude_max_sum,6;1
IsfixationInSpatialTemporalCluster_sum,0.0261008804876991,IsfixationInSpatialTemporalCluster_sum,6;1
IsfixationInSpatialCluster_sum,0.0201564900153609,IsfixationInSpatialCluster_sum,6;1
Sub-scanNtranstions_sum,0.018419930875576,Sub-scanNtranstions_sum,6;1
Sub-scanDensity_sum,0.016243325287104,Sub-scanDensity_sum,6;1
Fixation Count_sum,0.0159479921000658,Fixation Count_sum,6;1
