fragment,Fixation Duration_mean,Fixation Duration_sum,Fixation Duration_max,Fixation Duration_min,Fixation Duration_median,Fixation Duration_std,Fixation Duration 250_mean,Fixation Duration 250_sum,Fixation Duration 250_max,Fixation Duration 250_min,Fixation Duration 250_median,Fixation Duration 250_std,Fixation Duration 500_mean,Fixation Duration 500_sum,Fixation Duration 500_max,Fixation Duration 500_min,Fixation Duration 500_median,Fixation Duration 500_std,Fixation Count_mean,Fixation Count_sum,Fixation Count_max,Fixation Count_min,Fixation Count_median,Fixation Count_std,Fixation Count 250_mean,Fixation Count 250_sum,Fixation Count 250_max,Fixation Count 250_min,Fixation Count 250_median,Fixation Count 250_std,Fixation Count 500_mean,Fixation Count 500_sum,Fixation Count 500_max,Fixation Count 500_min,Fixation Count 500_median,Fixation Count 500_std,fixation_NumberOfPupilPeaks_mean,fixation_NumberOfPupilPeaks_sum,fixation_NumberOfPupilPeaks_max,fixation_NumberOfPupilPeaks_min,fixation_NumberOfPupilPeaks_median,fixation_NumberOfPupilPeaks_std,fixation_PupilSize_mean_mean,fixation_PupilSize_mean_sum,fixation_PupilSize_mean_max,fixation_PupilSize_mean_min,fixation_PupilSize_mean_median,fixation_PupilSize_mean_std,fixation_PupilSize_median_mean,fixation_PupilSize_median_sum,fixation_PupilSize_median_max,fixation_PupilSize_median_min,fixation_PupilSize_median_median,fixation_PupilSize_median_std,fixation_PupilSize_max_mean,fixation_PupilSize_max_sum,fixation_PupilSize_max_max,fixation_PupilSize_max_min,fixation_PupilSize_max_median,fixation_PupilSize_max_std,fixation_PupilSize_min_mean,fixation_PupilSize_min_sum,fixation_PupilSize_min_max,fixation_PupilSize_min_min,fixation_PupilSize_min_median,fixation_PupilSize_min_std,fixation_PupilSize_std_mean,fixation_PupilSize_std_sum,fixation_PupilSize_std_max,fixation_PupilSize_std_min,fixation_PupilSize_std_median,fixation_PupilSize_std_std,fixation_PupilSize_sum_mean,fixation_PupilSize_sum_sum,fixation_PupilSize_sum_max,fixation_PupilSize_sum_min,fixation_PupilSize_sum_median,fixation_PupilSize_sum_std,fixation_PupilPeaksAmplitude_mean_mean,fixation_PupilPeaksAmplitude_mean_sum,fixation_PupilPeaksAmplitude_mean_max,fixation_PupilPeaksAmplitude_mean_min,fixation_PupilPeaksAmplitude_mean_median,fixation_PupilPeaksAmplitude_mean_std,fixation_PupilPeaksAmplitude_median_mean,fixation_PupilPeaksAmplitude_median_sum,fixation_PupilPeaksAmplitude_median_max,fixation_PupilPeaksAmplitude_median_min,fixation_PupilPeaksAmplitude_median_median,fixation_PupilPeaksAmplitude_median_std,fixation_PupilPeaksAmplitude_max_mean,fixation_PupilPeaksAmplitude_max_sum,fixation_PupilPeaksAmplitude_max_max,fixation_PupilPeaksAmplitude_max_min,fixation_PupilPeaksAmplitude_max_median,fixation_PupilPeaksAmplitude_max_std,fixation_PupilPeaksAmplitude_min_mean,fixation_PupilPeaksAmplitude_min_sum,fixation_PupilPeaksAmplitude_min_max,fixation_PupilPeaksAmplitude_min_min,fixation_PupilPeaksAmplitude_min_median,fixation_PupilPeaksAmplitude_min_std,fixation_PupilPeaksAmplitude_std_mean,fixation_PupilPeaksAmplitude_std_sum,fixation_PupilPeaksAmplitude_std_max,fixation_PupilPeaksAmplitude_std_min,fixation_PupilPeaksAmplitude_std_median,fixation_PupilPeaksAmplitude_std_std,fixation_PupilPeaksAmplitude_sum_mean,fixation_PupilPeaksAmplitude_sum_sum,fixation_PupilPeaksAmplitude_sum_max,fixation_PupilPeaksAmplitude_sum_min,fixation_PupilPeaksAmplitude_sum_median,fixation_PupilPeaksAmplitude_sum_std,IsfixationInSpatialCluster_mean,IsfixationInSpatialCluster_sum,IsfixationInSpatialCluster_max,IsfixationInSpatialCluster_min,IsfixationInSpatialCluster_median,IsfixationInSpatialCluster_std,IsfixationInSpatialTemporalCluster_mean,IsfixationInSpatialTemporalCluster_sum,IsfixationInSpatialTemporalCluster_max,IsfixationInSpatialTemporalCluster_min,IsfixationInSpatialTemporalCluster_median,IsfixationInSpatialTemporalCluster_std,Spacecluster_countUniqueClusters,SpaceTimeCluster_countUniqueClusters,non-horizontal saccade_mean,non-horizontal saccade_sum,non-horizontal saccade_max,non-horizontal saccade_min,non-horizontal saccade_median,non-horizontal saccade_std,horizontal saccade_mean,horizontal saccade_sum,horizontal saccade_max,horizontal saccade_min,horizontal saccade_median,horizontal saccade_std,no saccade_mean,no saccade_sum,no saccade_max,no saccade_min,no saccade_median,no saccade_std,saccadic amplitude_mean,saccadic amplitude_sum,saccadic amplitude_max,saccadic amplitude_min,saccadic amplitude_median,saccadic amplitude_std,Sub-scanAverageWeightedDegree_mean,Sub-scanAverageWeightedDegree_sum,Sub-scanAverageWeightedDegree_max,Sub-scanAverageWeightedDegree_min,Sub-scanAverageWeightedDegree_median,Sub-scanAverageWeightedDegree_std,Sub-scanNtranstions_mean,Sub-scanNtranstions_sum,Sub-scanNtranstions_max,Sub-scanNtranstions_min,Sub-scanNtranstions_median,Sub-scanNtranstions_std,Sub-scanNUniqueVisits_mean,Sub-scanNUniqueVisits_sum,Sub-scanNUniqueVisits_max,Sub-scanNUniqueVisits_min,Sub-scanNUniqueVisits_median,Sub-scanNUniqueVisits_std,Sub-scanDensity_mean,Sub-scanDensity_sum,Sub-scanDensity_max,Sub-scanDensity_min,Sub-scanDensity_median,Sub-scanDensity_std,Sub-scanEntropy_mean,Sub-scanEntropy_sum,Sub-scanEntropy_max,Sub-scanEntropy_min,Sub-scanEntropy_median,Sub-scanEntropy_std,label_fragmentHighlighted_,participant,task
add to array,283.00836621621625,31413.92865,1566.5827,66.62175,208.3434,229.03412338186678,493.04802439024394,20214.969,1566.5827,258.3098,399.9767,259.9822887194095,794.1575461538462,10324.0481,1566.5827,524.94785,724.9699,270.68505102014194,1.0,111,1,1,1.0,0.0,0.36936936936936937,41,1,0,0.0,0.484822890397344,0.11711711711711711,13,1,0,0.0,0.32301811766633826,1.2342342342342343,137,4,0,1.0,0.7972105340150966,1.0915369867059177,121.16060552435687,1.267299601,0.850632684047619,1.0963422646666667,0.09652055255421106,1.1024862556621622,122.3759743785,1.3037262905,0.8245425989999999,1.108440032,0.10367646954680977,1.2098239132972974,134.290454376,1.346297549,1.017403675,1.216638367,0.08145486731493078,0.9462701401261261,105.03598555399999,1.21806683,0.350286224,0.954560315,0.160103794929425,0.08647859651265076,9.599124212904234,0.3382448583662829,0.0096716314063567,0.0740306755612622,0.05465037483596337,91.87662746133334,10198.305648208001,106.453166484,71.45314546,92.563437906,8.028626689534459,0.16721021369444442,16.052180514666663,0.884431664,0.0004531599999999,0.1189095852499999,0.16908419409762174,0.16518888055729164,15.858132533499997,0.884431664,4.5901000000014847e-05,0.1189095852499999,0.17047195354281078,0.1950627559895833,18.726024574999997,0.884431664,0.0007463619999998,0.1610946050000001,0.17136073116645853,0.14150734234374998,13.584704864999997,0.884431664,1.021000000100969e-06,0.06764974799999995,0.17975698707232715,0.10691259223427818,3.5281155437311797,0.2217181692656389,0.0004146502449147,0.1247198227830432,0.07525232398560765,0.17565832982882879,19.498074610999996,0.884431664,0.0,0.126263658,0.1776185554689,0.3063063063063063,34,1,0,0.0,0.4630490410468577,0.018018018018018018,2,1,0,0.0,0.13361967614920287,3,1,0.8108108108108109,90,1,0,1.0,0.3934350706166836,0.17117117117117117,19,1,0,0.0,0.37836667818578207,0.018018018018018018,2,1,0,0.0,0.13361967614920287,7.4996414358767645,832.4601993823209,37.48332962798263,0.0,3.1622776601683795,9.094377381354478,1.93003003003003,214.23333333333332,3.333333333333333,0.0,2.0,0.6686478887202134,3.6396396396396398,404,6,0,4.0,1.438387941050629,3.6936936936936937,410,6,0,4.0,0.998114520600014,0.9737878787878788,107.11666666666666,1.6666666666666667,0.5,1.0,0.32276408077649527,1.6992886851594036,186.9217553675344,2.584962500721156,0.0,1.9609640474436811,0.6961011431539458,0,P01,t7_eclipse (C_5.java)
array list definition,149.99246,749.9623,208.30755,75.011,133.34325,57.71358813693054,,0.0,,,,,,0.0,,,,,1.0,5,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.6,8,3,1,1.0,0.8944271909999159,1.0131617474587675,5.065808737293837,1.119664655547619,0.851710923142857,1.0403838420235296,0.10025139100495092,1.0272246856,5.136123428,1.1511081365,0.8494470544999999,1.052046662,0.11388666242537458,1.1031432524,5.515716262,1.226997386,0.920819233,1.092780063,0.11804513717419401,0.8831153878,4.415576939,0.994825567,0.76761719,0.847613966,0.09640370426797584,0.07292156579116235,0.3646078289558118,0.1526252585163675,0.0359745862727054,0.0556902477064514,0.046439429379746745,85.5132948838,427.56647441900003,94.051831066,71.54371754399999,88.43262657200002,8.472753547229622,0.1603183172,0.801591586,0.29220515,0.0718926979999999,0.153202043,0.08133520568845569,0.16517345900000002,0.8258672950000001,0.29220515,0.0961684069999999,0.153202043,0.07523284119287219,0.1893504662,0.946752331,0.29220515,0.107522327,0.153202043,0.08488585235798354,0.12643102640000006,0.6321551320000003,0.29220515,0.01198736,0.1257550380000001,0.10873162248624199,0.10354480646156236,0.20708961292312472,0.1549003897490605,0.0521892231740642,0.10354480646156236,0.07262776238876095,0.2207827278,1.103913639,0.317073314,0.1257550380000001,0.2156780939999999,0.08366078450601683,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.8,4,1,0,1.0,0.4472135954999579,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,12.857548020969002,64.28774010484501,24.08318915758459,0.0,12.36931687685298,9.59709974995546,1.8666666666666665,9.333333333333332,2.0,1.3333333333333333,2.0,0.29814239699997197,3.6,18,5,2,4.0,1.1401754250991378,3.8,19,5,3,4.0,0.8366600265340756,0.9333333333333332,4.666666666666666,1.0,0.6666666666666666,1.0,0.14907119849998599,1.7813781191217035,8.906890595608518,2.321928094887362,1.0,2.0,0.5091454090168208,0,P01,t7_eclipse (C_5.java)
next function,167.63482894736842,25480.494,1474.88405,66.64045,133.30525,143.16265140427754,384.96678999999995,9624.16975,1474.88405,250.03165,324.9387,242.11158182288423,1045.7437499999999,2091.4874999999997,1474.88405,616.60345,1045.7437499999999,606.8960324208587,1.0,152,1,1,1.0,0.0,0.16447368421052633,25,1,0,0.0,0.37193033149814964,0.013157894736842105,2,1,0,0.0,0.11432740861710033,1.4013157894736843,213,6,0,1.0,0.8159004972856039,1.108133458262547,168.43628565590714,1.3166027677857144,0.6407573581904761,1.1175016128214286,0.12318768421387817,1.1191278606578947,170.10743482,1.3442084935,0.6724022679999999,1.119474475,0.12397067282922762,1.2238364340921053,186.023137982,1.392698561,0.771312165,1.240769345,0.1012449880448401,0.9624607539407893,146.29403459899999,1.27596769,0.438548945,0.990107675,0.18421204566495283,0.08614509082263401,13.09405380504037,0.2952577193784381,0.0063342403302771,0.0787655284335711,0.05518579990322012,93.19053238942763,14164.960923193,110.594632494,53.82361808799999,93.870135477,10.35252606606795,0.21080345569463466,30.77730453141666,1.042412337,0.0010805749999998,0.1404324469999999,0.2307828992478113,0.20547300529794515,29.999058773499993,1.042412337,3.607900000002218e-05,0.1404324469999999,0.2345810771279917,0.2470492722945205,36.06919375499999,1.042412337,0.0021511219999998,0.17912408199999985,0.227881947783117,0.1819773670205479,26.568695584999993,1.042412337,1.59200000005022e-06,0.08070155399999995,0.2448228219780739,0.1251234003599931,6.256170017999654,0.3233927209922655,0.0002727317926103,0.11882158145763,0.0888862044437095,0.24247850854605257,36.85673329899999,1.042412337,0.0,0.18373478149999983,0.2293857129001865,0.16447368421052633,25,1,0,0.0,0.37193033149814964,0.039473684210526314,6,1,0,0.0,0.19536276148339066,2,3,0.48026315789473684,73,1,0,0.0,0.5012619140212428,0.4934210526315789,75,1,0,0.0,0.5016094695589413,0.02631578947368421,4,1,0,0.0,0.1606018655534242,7.830048523984437,1190.1673756456344,34.92849839314596,0.0,6.0,7.542344786669668,1.8245614035087718,277.3333333333333,4.0,0.0,2.0,0.9210140685825245,2.526315789473684,384,5,0,2.0,1.4045685553823668,2.5328947368421053,385,5,0,2.0,1.2337299454298183,1.0121654501216544,138.66666666666666,2.0,0.5,1.0,0.36553135091727923,1.1904531987268023,163.09208822557193,2.321928094887362,0.0,1.0,0.6025046708948096,1,P01,t7_eclipse (C_5.java)
objects declaration,222.9607137096774,13823.56425,874.9519,66.63515,170.817825,167.97241782850014,409.08646190476185,8590.8157,874.9519,258.29285,374.9507,161.02822694237952,738.8293166666667,2216.48795,874.9519,566.63165,774.9044,157.29400137368822,1.0,62,1,1,1.0,0.0,0.3387096774193548,21,1,0,0.0,0.47713449274508263,0.04838709677419355,3,1,0,0.0,0.2163345432076804,1.2903225806451613,80,3,0,1.0,0.6868100836163995,1.116783106708383,69.24055261591975,1.2927911752588237,0.9413037825119044,1.1213290565412466,0.09103357363104757,1.122257327782258,69.5799543225,1.3025065405,0.9577008485,1.121996467,0.09908448280400384,1.220291192548387,75.658053938,1.331405687,1.006309751,1.2345251885000001,0.07675715374281437,0.9911139491129033,61.449064845,1.225403979,0.459543028,1.000944482,0.13191203626885745,0.0726780038484111,4.506036238601488,0.3136672601067247,0.0112267122035903,0.06308099852442581,0.04514785435919081,94.00868338662903,5828.538369971,109.887249897,79.06951773099998,94.33296401850001,7.687769088166434,0.15552771313392855,8.709551935499999,0.5969859370000001,0.0006960819999999,0.0956091164999999,0.14627545448919238,0.15482977966964281,8.670467661499998,0.5969859370000001,0.0006960819999999,0.0956091164999999,0.1469287105919726,0.1808803337142857,10.129298687999999,0.5969859370000001,0.0006960819999999,0.1320868034999999,0.1514431807398178,0.13087302601785714,7.328889457,0.5969859370000001,0.0002016559999999,0.0578962770000001,0.15747048021165724,0.08873776142008083,1.9522307512417783,0.3212413563886799,0.0001326086844235,0.0546831391365187,0.09112030212369554,0.16859219443548384,10.452716054999998,0.5969859370000001,0.0,0.0999431675,0.15441666501684717,0.1774193548387097,11,1,0,0.0,0.38514181115689883,0.12903225806451613,8,1,0,0.0,0.33797230305290277,2,3,0.5,31,1,0,0.5,0.5040817003777639,0.46774193548387094,29,1,0,0.0,0.5030315290279452,0.03225806451612903,2,1,0,0.0,0.17812704394997528,5.8717194056842645,364.0466031524244,26.570660511172846,0.0,4.47213595499958,4.751911601016645,2.0865591397849466,129.36666666666667,5.0,1.0,2.0,1.1353318874336504,3.161290322580645,196,5,1,3.0,1.5596715541914565,3.161290322580645,196,6,2,2.0,1.3573545677264152,1.0432795698924733,64.68333333333334,2.5,0.5,1.0,0.5676659437168252,1.2277972292469206,76.12342821330908,2.321928094887362,0.0,1.0,0.8637382640002954,0,P01,t7_eclipse (C_5.java)
other,163.50429375,1308.03435,349.9524,74.999,133.290075,86.36145320523269,349.9524,349.9524,349.9524,349.9524,349.9524,,,0.0,,,,,1.0,8,1,1,1.0,0.0,0.125,1,1,0,0.0,0.3535533905932738,0.0,0,0,0,0.0,0.0,1.875,15,3,1,2.0,0.6408699444616557,1.0049040497648285,8.039232398118628,1.13717952275,0.8427125090238095,1.0363990235,0.11903956701194246,1.003920818375,8.031366547,1.1353783855,0.838619124,1.02882541525,0.11792210630553861,1.1051597498749999,8.841277998999999,1.186026147,0.920819233,1.1376053389999998,0.10151406678042464,0.893782739125,7.150261913,1.078354895,0.722963009,0.9405370065,0.14316229270747427,0.062256076485833284,0.49804861188666627,0.0909286814617354,0.0336470877846368,0.060536503063922095,0.01974115936576671,84.68748569675,677.499885574,95.523079911,70.78785075799999,87.057517974,10.266522474899743,0.12415566189583326,0.993245295166666,0.1680952114999999,0.0681226499999999,0.1314655274999999,0.03930702740318042,0.12541183118749993,1.0032946494999995,0.1680952114999999,0.0681226499999999,0.1314655274999999,0.03816376098166637,0.1780638538749999,1.4245108309999992,0.2680677729999999,0.0681226499999999,0.1667626479999999,0.06482664562629893,0.06899130062499993,0.5519304049999995,0.153202043,0.001011799,0.0681226499999999,0.050445626027686534,0.09718918707420954,0.5831351224452572,0.1413825523384783,0.0499176665238174,0.1002673423603329,0.04235072766560271,0.23175972474999987,1.854077797999999,0.3361904229999998,0.0681226499999999,0.2629310549999998,0.09412809014550537,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.5,4,1,0,0.5,0.5345224838248488,0.5,4,1,0,0.5,0.5345224838248488,0.0,0,0,0,0.0,0.0,6.041684508583534,48.33347606866827,12.0,1.0,6.121320343559642,3.9276380832311557,1.8,14.4,2.0,1.6,1.8,0.21380899352993946,4.0,32,4,4,4.0,0.0,4.5,36,5,4,4.5,0.5345224838248486,0.9,7.2,1.0,0.8,0.9,0.10690449676496973,2.0,16.0,2.0,2.0,2.0,0.0,0,P01,t7_eclipse (C_5.java)
question,109.5344642857143,766.74125,233.29405,66.6555,66.691,71.41680690348569,,0.0,,,,,,0.0,,,,,1.0,7,1,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8571428571428571,6,2,0,1.0,0.6900655593423541,1.012960936582733,7.090726556079131,1.2611956472857142,0.7608154884235295,1.012043614845238,0.19152375522873488,1.0226333491428572,7.158433444,1.276638398,0.715667923,1.098926061,0.2246389120774153,1.2186106351428572,8.530274446,1.308414483,1.093691782,1.250609976,0.0879056506918156,0.7987377884285713,5.5911645189999994,1.13635208,0.501587967,0.930021099,0.2844311203639152,0.14329282306782368,1.0030497614747658,0.3162952708868897,0.0425769370091736,0.0714874158043248,0.10818224423403648,85.35631093085715,597.494176516,105.940434372,64.66931651600001,85.011663647,16.023926341367766,0.22573900679999995,1.1286950339999997,0.4323041089999999,0.0858826669999999,0.2135349290000001,0.12789458219557112,0.22573900679999995,1.1286950339999997,0.4323041089999999,0.0858826669999999,0.2135349290000001,0.12789458219557112,0.24262070019999996,1.2131035009999998,0.4323041089999999,0.1702911339999999,0.2135349290000001,0.10899290065808494,0.20885731339999997,1.0442865669999999,0.4323041089999999,0.0014742,0.2135349290000001,0.15389773109637533,0.1193715988105217,0.1193715988105217,0.1193715988105217,0.1193715988105217,0.1193715988105217,,0.1735111001428571,1.2145777009999996,0.4323041089999999,0.0,0.1717653339999999,0.14810096608889123,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.42857142857142855,3,1,0,0.0,0.5345224838248488,0.5714285714285714,4,1,0,1.0,0.5345224838248488,0.0,0,0,0,0.0,0.0,27.379349374347534,191.65544562043274,46.0,10.0,25.238858928247925,15.30576468122336,0.6666666666666666,4.666666666666666,2.0,0.0,0.0,0.8606629658238705,1.1428571428571428,8,4,0,0.0,1.5735915849388864,1.4285714285714286,10,4,0,0.0,1.8126539343499315,0.7777777777777777,2.333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.1924500897298753,1.3333333333333333,4.0,2.0,1.0,1.0,0.5773502691896257,0,P01,t7_eclipse (C_5.java)
while loop,193.25097156862745,49278.99775,616.63635,66.61345,174.9932,106.68703109767787,355.4730726415094,18840.07285,616.63635,250.0085,316.67685,103.22146171734047,569.4172166666666,3416.5033,616.63635,508.3511,562.46155,41.70203207970407,1.0,255,1,1,1.0,0.0,0.20784313725490197,53,1,0,0.0,0.40656189408551596,0.023529411764705882,6,1,0,0.0,0.15187572013907577,1.423529411764706,363,4,0,1.0,0.8377388565943911,1.0604123089168842,270.40513877380545,1.3219144174642856,0.6917159527738095,1.067568203511905,0.1072431101270992,1.0655898438352942,271.725410178,1.3223308925,0.654073042,1.0749374045,0.11344492402456526,1.1698695404470587,298.316732814,1.335894458,0.943022885,1.182074848,0.08451533862756441,0.933234231372549,237.974729,1.303872177,0.255130796,0.927660434,0.15045267309414295,0.07520775614428103,19.177977816791664,0.3137461369519074,0.0105748936987537,0.0711881857577098,0.04583887497733961,89.24384511742745,22757.180504944,111.040811067,58.104140033,90.149448778,9.018413642839155,0.13575124118785306,32.03729292033332,0.779046346,7.059000000086968e-06,0.09540287699999994,0.139486240400788,0.13379895660381352,31.576553758499994,0.779046346,6.586000000030623e-06,0.0945843975,0.14078157032162997,0.16634444363983047,39.25728869899999,0.779046346,7.059000000086968e-06,0.13055686600000005,0.15095370297489666,0.10801242458898304,25.490932202999996,0.779046346,1.021000000100969e-06,0.043923849,0.14764033503200916,0.097634169824165,9.275246133295676,0.3667413146071714,2.7906676226260555e-05,0.0639187060604303,0.08964335825091238,0.16215570099999996,41.349703754999986,0.779046346,0.0,0.126610182,0.1554183480885958,0.14901960784313725,38,1,0,0.0,0.35680810973557475,0.058823529411764705,15,1,0,0.0,0.23575684005594297,3,7,0.5803921568627451,148,1,0,1.0,0.4944652754235228,0.38823529411764707,99,1,0,0.0,0.4883069976421303,0.03137254901960784,8,1,0,0.0,0.17466525473596872,7.721763096858399,1969.0495896988916,29.120439557122072,0.0,6.0,6.359773166849216,1.8751633986928105,478.1666666666667,4.0,0.0,2.0,0.8327778499614881,3.1215686274509804,796,5,0,3.0,1.4811564067896723,3.16078431372549,806,6,0,3.0,1.2555512061437537,0.9961805555555556,239.08333333333334,2.0,0.5,1.0,0.35446018411310165,1.5143328358654098,363.43988060769834,2.321928094887362,0.0,1.584962500721156,0.660417639880785,1,P01,t7_eclipse (C_5.java)
