,Timestamp,Fixation Index,Fixation Duration,SourceStimuliName,source_file_line,source_file_col,Spacecluster,IsfixationInSpatialCluster,SpaceTimeCluster,IsfixationInSpatialTemporalCluster,fixation_NumberOfPupilPeaks,fixation_PupilSize_mean,fixation_PupilSize_median,fixation_PupilSize_max,fixation_PupilSize_min,fixation_PupilSize_std,fixation_PupilSize_sum,fixation_PupilPeaksAmplitude_mean,fixation_PupilPeaksAmplitude_median,fixation_PupilPeaksAmplitude_max,fixation_PupilPeaksAmplitude_min,fixation_PupilPeaksAmplitude_std,fixation_PupilPeaksAmplitude_sum,Sub-scanNtranstions,Sub-scanNUniqueVisits,Sub-scanDensity,Sub-scanAverageWeightedDegree,Sub-scanEntropy,index,non-horizontal saccade,horizontal saccade,no saccade,saccadic amplitude
14,493052.1815,1414,224.97605,t7_eclipse (C_5.java),16,19,,0,,0,2,1.0081767758214286,1.0296360245,1.072409826,0.893729899,0.0570527277097392,84.686849169,0.0738674074999998,0.0738674074999998,0.1379099489999998,0.0098248659999999,0.0905698307581417,0.1477348149999997,5,4,1.25,2.5,2.321928094887362,14,1,0,0,5.385164807134504
15,493310.4861,1415,324.9835,t7_eclipse (C_5.java),17,21,17;0,1,17;-1,0,2,1.0220760387619048,1.0428008475,1.092081522,0.934499877,0.04685784000034,85.854387256,0.0738674074999998,0.0738674074999998,0.1379099489999998,0.0098248659999999,0.0905698307581417,0.1477348149999997,5,4,1.25,2.5,2.321928094887362,15,1,0,0,2.23606797749979
16,493810.4074,1416,75.0234,t7_eclipse (C_5.java),11,17,,0,,0,2,1.077505173095238,1.104615448,1.139743616,0.934499877,0.0636157943402196,90.51043454,0.036532729,0.036532729,0.066298956,0.006766502,0.0420958019240762,0.073065458,5,4,1.25,2.5,2.321928094887362,16,1,0,0,7.211102550927978
17,493885.4324,1417,166.6466,t7_eclipse (C_5.java),12,20,,0,,0,2,1.0945578686190476,1.110624219,1.139743616,0.96113154,0.0423565563304444,91.942860964,0.036532729,0.036532729,0.066298956,0.006766502,0.0420958019240762,0.073065458,5,4,1.25,2.5,2.321928094887362,17,1,0,0,3.1622776601683795
18,494210.404,1418,108.29035,t7_eclipse (C_5.java),12,28,,0,,0,2,1.1493855959523809,1.134887189,1.236474356,1.07344466,0.0564604206051498,96.54839006,0.1022685929999999,0.1022685929999999,0.13823823,0.066298956,0.050868748479037,0.2045371859999999,5,4,1.25,2.5,2.321928094887362,18,0,1,0,8.0
19,494377.0448,1419,349.99125,t7_eclipse (C_5.java),11,27,11;-1,0,11;-1,0,1,1.1719636143882353,1.202755742,1.236474356,1.07344466,0.062546202708632,99.616907223,0.13823823,0.13823823,0.13823823,0.13823823,,0.13823823,5,4,1.25,2.5,2.321928094887362,19,1,0,0,1.4142135623730951
20,494777.0664,1420,233.3239,t7_eclipse (C_5.java),20,16,,0,,0,1,1.181412789690476,1.2120327805,1.236474356,1.098236126,0.0524077642734594,99.238674334,0.13823823,0.13823823,0.13823823,0.13823823,,0.13823823,1,2,0.5,1.0,0.0,20,1,0,0,14.212670403551895
21,495093.6201,1421,216.6424,t7_eclipse (C_5.java),20,12,,0,,0,1,1.1827131823571428,1.187616236,1.262862408,1.098236126,0.0579070961858546,99.347907318,0.539899399,0.539899399,0.539899399,0.539899399,,0.539899399,1,2,0.5,1.0,0.0,21,0,1,0,4.0
22,495410.2826,1422,83.3563,t7_eclipse (C_5.java),20,12,,0,,0,1,1.2066391440833333,1.2204721805,1.262862408,1.077725876,0.0511837473823485,101.357688103,0.539899399,0.539899399,0.539899399,0.539899399,,0.539899399,1,2,0.5,1.0,0.0,22,0,0,1,0.0
23,496210.2127,1424,133.28695,t7_eclipse (C_5.java),20,11,,0,,0,0,1.1377460234166663,1.162312131,1.183087228,1.03676106,0.0444665706104104,95.570665967,,,,,,0.0,1,2,0.5,1.0,0.0,23,0,1,0,1.0
24,496360.1519,1425,108.3298,t7_eclipse (C_5.java),21,11,,0,,0,0,1.1656511594047618,1.1662613215,1.197167143,1.100254376,0.0220542997482026,97.91469739,,,,,,0.0,1,2,0.5,1.0,0.0,24,1,0,0,1.0
25,496518.5006,1426,366.5605,t7_eclipse (C_5.java),21,21,21;0,1,21;-1,0,0,1.1805743176547618,1.1786631515,1.202157639,1.158488218,0.0146636263416767,99.168242683,,,,,,0.0,1,2,0.5,1.0,0.0,25,0,1,0,10.0
26,497101.7693,1427,199.99365,t7_eclipse (C_5.java),21,17,,0,,0,1,1.2151555590833332,1.215028276,1.232042088,1.198270382,0.0114804436521539,102.073066963,0.1958864790000001,0.1958864790000001,0.1958864790000001,0.1958864790000001,,0.1958864790000001,3,3,1.0,2.0,1.584962500721156,26,0,1,0,4.0
27,497301.7242,1428,299.9889,t7_eclipse (C_5.java),18,11,18;-1,0,18;-1,0,1,1.2100472622619047,1.215028276,1.232042088,1.177748766,0.0183402008375409,101.64397003,0.1958864790000001,0.1958864790000001,0.1958864790000001,0.1958864790000001,,0.1958864790000001,3,3,1.0,2.0,1.584962500721156,27,1,0,0,6.708203932499369
28,497651.7177,1429,258.3153,t7_eclipse (C_5.java),20,13,20;0,1,20;0,1,3,1.1858404571309524,1.1776780955,1.220420291,1.175445438,0.0139525384773692,99.610598399,0.0002169659999999,6.586000000030623e-06,0.0006407379999999,3.573999999950672e-06,0.0003670004073893,0.0006508979999998,3,3,1.0,2.0,1.584962500721156,28,1,0,0,2.8284271247461903
29,497951.7152,1430,274.98045,t7_eclipse (C_5.java),20,8,20;-1,0,20;0,1,4,1.1723968276785717,1.1763225715,1.190454476,1.104084493,0.0175625343790869,98.48133352500004,0.0039149839999999,0.0003236619999999,0.015009038,3.573999999950672e-06,0.0074021038481848,0.0156599359999998,3,3,1.0,2.0,1.584962500721156,29,0,1,0,5.0
30,498260.0039,1431,216.625,t7_eclipse (C_5.java),21,13,,0,,0,4,1.1302296313529412,1.131101726,1.190454476,1.055053441,0.0490581847685328,96.069518665,0.0063365535,0.005165295,0.015009038,6.586000000030623e-06,0.0070208590889211,0.025346214,3,3,1.0,2.0,1.584962500721156,30,1,0,0,5.0990195135927845
31,498501.6212,1432,233.30205,t7_eclipse (C_5.java),21,20,,0,,0,3,1.060581750329412,1.071079328,1.190454476,0.879676968,0.0772732963289902,90.149448778,0.0084465426666666,0.009028792,0.015009038,0.001301798,0.0068721443392164,0.025339628,3,3,1.0,2.0,1.584962500721156,31,0,1,0,7.0
32,498959.9238,1433,208.3506,t7_eclipse (C_5.java),20,16,,0,,0,1,0.9771462455714288,0.9825510875,1.108243789,0.832514622,0.0922825837874969,82.08028462800002,0.275729167,0.275729167,0.275729167,0.275729167,,0.275729167,3,4,0.75,1.5,1.584962500721156,32,1,0,0,4.123105625617661
33,499343.2271,1434,191.6388,t7_eclipse (C_5.java),21,16,,0,,0,2,0.9883222654470588,0.980674015,1.108243789,0.842431971,0.0759399193531278,84.00739256300001,0.1400588834999999,0.1400588834999999,0.275729167,0.0043885999999999,0.1918667549367028,0.2801177669999999,3,4,0.75,1.5,1.584962500721156,33,1,0,0,1.0
34,499551.5716,1435,183.2817,t7_eclipse (C_5.java),21,17,,0,,0,1,0.932489152404762,0.950549955,1.107666644,0.808732151,0.0943807700498156,78.32908880200002,0.0043885999999999,0.0043885999999999,0.0043885999999999,0.0043885999999999,,0.0043885999999999,3,4,0.75,1.5,1.584962500721156,34,0,1,0,1.0
35,499768.1958,1436,233.285,t7_eclipse (C_5.java),21,23,,0,,0,1,0.8991536084047618,0.8873491520000001,1.057569559,0.808732151,0.0728545513069757,75.52890310599999,0.0043885999999999,0.0043885999999999,0.0043885999999999,0.0043885999999999,,0.0043885999999999,3,4,0.75,1.5,1.584962500721156,35,0,1,0,6.0
36,500226.5221,1437,274.954,t7_eclipse (C_5.java),21,19,21;0,1,21;-1,0,1,1.0380570549523809,1.0781565830000002,1.130370449,0.810902503,0.1005104879311945,87.19679261599998,0.2982190529999999,0.2982190529999999,0.2982190529999999,0.2982190529999999,,0.2982190529999999,3,4,0.75,1.5,1.584962500721156,36,0,1,0,4.0
37,500576.4693,1438,99.978,t7_eclipse (C_5.java),16,16,,0,,0,1,1.0098803903928573,1.0679112995,1.130370449,0.832151396,0.1090897190146227,84.829952793,0.2982190529999999,0.2982190529999999,0.2982190529999999,0.2982190529999999,,0.2982190529999999,3,4,0.75,1.5,1.584962500721156,37,1,0,0,5.830951894845301
38,500734.8742,1439,133.26725,t7_eclipse (C_5.java),15,11,,0,,0,1,0.9499563033333333,0.9088910075,1.103606356,0.832151396,0.1033986387341998,79.79632948,0.036799709,0.036799709,0.036799709,0.036799709,,0.036799709,3,4,0.75,1.5,1.584962500721156,38,1,0,0,5.0990195135927845
39,500959.8094,1440,116.6837,t7_eclipse (C_5.java),15,16,,0,,0,1,0.8877011020833334,0.868789597,1.044118653,0.832151396,0.0556150205488771,74.56689257500001,0.036799709,0.036799709,0.036799709,0.036799709,,0.036799709,4,4,1.0,2.0,2.0,39,0,1,0,5.0
40,501343.0839,1442,75.0044,t7_eclipse (C_5.java),21,23,,0,,0,1,1.0091991879882352,0.997049119,1.186929528,0.834594348,0.1366936497994239,85.78193097899998,0.3781973770000001,0.3781973770000001,0.3781973770000001,0.3781973770000001,,0.3781973770000001,4,4,1.0,2.0,2.0,40,1,0,0,9.219544457292887
41,501576.3976,1443,66.67695,t7_eclipse (C_5.java),16,18,,0,,0,1,1.0896775254880953,1.105373962,1.186929528,0.895979906,0.0867353115108526,91.532912141,0.3781973770000001,0.3781973770000001,0.3781973770000001,0.3781973770000001,,0.3781973770000001,4,4,1.0,2.0,2.0,41,1,0,0,7.0710678118654755
